回答者(or No.),問１．あなたの年齢を教えてください。（令和５年11月25日時点）,問２．あなたの自認する性別を教えてください。,問３．あなたは結婚していますか。,問４．一緒に住んでいる家族を教えてください。（複数回答１）,問４．一緒に住んでいる家族を教えてください。（複数回答２）,問４．一緒に住んでいる家族を教えてください。（複数回答３）,問４．７．その他,問５．あなたの家の生計を立てているのは主にどなたですか。生計を立てている方が複数いる場合は、もっとも多くの生計を負担している人をお答えください。また、仕送り等で生計を立てている方は、その仕送り等を主にしてくれている人をお答えください。,問５．10．その他,問６．あなたが最後に卒業した（中退等を含む）学校等はどれですか。在学中の方は、現在在学している学校等をお答えください。,問６．７．その他,問７．あなたは現在働いていますか。該当するものをお答えください。,問８．あなたが現在働いていない理由を教えてください。,問８．８．その他,問９．Ａ　会話やメール等をよくしている人（複数選択１）,問９．Ａ　会話やメール等をよくしている人（複数選択２）,問９．Ａ　会話やメール等をよくしている人（複数選択３）,問９．Ａ　会話やメール等をよくしている人（複数選択４）,問９．Ｂ　何でも悩みを相談できる人（複数選択１）,問９．Ｂ　何でも悩みを相談できる人（複数選択２）,問９．Ｂ　何でも悩みを相談できる人（複数選択３）,問９．Ｂ　何でも悩みを相談できる人（複数選択４）,問９．Ｃ　楽しく話せるときがある人（複数選択肢１）,問９．Ｃ　楽しく話せるときがある人（複数選択肢２）,問９．Ｃ　楽しく話せるときがある人（複数選択肢３）,問９．Ｃ　楽しく話せるときがある人（複数選択肢４）,問９．Ｃ　楽しく話せるときがある人（複数選択肢５）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢１）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢２）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢３）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢４）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢５）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢６）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢１）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢２）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢３）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢４）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢５）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢１）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢２）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢３）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢４）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢５）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢６）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢７）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢８）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢９）,問10．15．その他,問11．全体として、あなたは最近の生活に、どのくらい満足していますか。,問12．あなたは現在、悩み事はありますか。,問13．あなたの悩みごとは何ですか。（複数選択肢１）,問13．あなたの悩みごとは何ですか。（複数選択肢２）,問13．あなたの悩みごとは何ですか。（複数選択肢３）,問13．あなたの悩みごとは何ですか。（複数選択肢４）,問13．あなたの悩みごとは何ですか。（複数選択肢５）,問13．あなたの悩みごとは何ですか。（複数選択肢６）,問13．あなたの悩みごとは何ですか。（複数選択肢７）,問13．あなたの悩みごとは何ですか。（複数選択肢８）,問13．あなたの悩みごとは何ですか。（複数選択肢９）,問13．あなたの悩みごとは何ですか。（複数選択肢１０）,問13．16．その他,問14．悩みを誰かに相談しましたか。,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢１）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢２）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢３）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢４）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢５）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢６）,問15．12．その他,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢１）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢２）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢３）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢４）,問16．５．その他,問17．誰かに相談したいと思いますか。,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢１）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢２）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢３）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢４）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢５）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢６）,問18．８．その他,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢１）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢２）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢３）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢４）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢５）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢６）,問19．７．その他,問20．相談したくないと思う理由は何ですか。（複数選択肢１）,問20．相談したくないと思う理由は何ですか。（複数選択肢２）,問20．相談したくないと思う理由は何ですか。（複数選択肢３）,問20．相談したくないと思う理由は何ですか。（複数選択肢４）,問20．相談したくないと思う理由は何ですか。（複数選択肢５）,問20．相談したくないと思う理由は何ですか。（複数選択肢６）,問20．９．その他,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢１）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢２）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢３）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢４）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢５）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢６）,問21．10.その他,問22．狛江市内に相談ができたり、居場所となるようなものとして、どのような場所やサービスがあるといいと思いますか。,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢１）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢２）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢３）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢４）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢５）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢６）,問23．７．その他,問24．結婚についてどのように考えていますか。,問25．結婚したいと思う理由は何ですか。（複数選択肢１）,問25．結婚したいと思う理由は何ですか。（複数選択肢２）,問25．結婚したいと思う理由は何ですか。（複数選択肢３）,問25．結婚したいと思う理由は何ですか。（複数選択肢４）,問25．結婚したいと思う理由は何ですか。（複数選択肢５）,問25．結婚したいと思う理由は何ですか。（複数選択肢６）,問25．結婚したいと思う理由は何ですか。（複数選択肢７）,問25．９．その他,問26．現在結婚していない理由は何ですか。（複数選択肢１）,問26．現在結婚していない理由は何ですか。（複数選択肢２）,問26．現在結婚していない理由は何ですか。（複数選択肢３）,問26．現在結婚していない理由は何ですか。（複数選択肢４）,問26．現在結婚していない理由は何ですか。（複数選択肢５）,問26．現在結婚していない理由は何ですか。（複数選択肢６）,問26．現在結婚していない理由は何ですか。（複数選択肢７）,問26．現在結婚していない理由は何ですか。（複数選択肢８）,問26．11．その他,問27．将来的に子どもは何人いることが理想ですか。理想の子どもの数をお答えください。,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢２）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢３）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢４）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢５）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢６）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢７）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢８）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢９）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１０）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１１）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１２）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１３）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１４）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１５）,問28．16．その他,問29．子どもをもたない理由は何ですか。（複数選択肢１）,問29．子どもをもたない理由は何ですか。（複数選択肢２）,問29．子どもをもたない理由は何ですか。（複数選択肢３）,問29．子どもをもたない理由は何ですか。（複数選択肢４）,問29．子どもをもたない理由は何ですか。（複数選択肢５）,問29．子どもをもたない理由は何ですか。（複数選択肢６）,問29．子どもをもたない理由は何ですか。（複数選択肢７）,問29．子どもをもたない理由は何ですか。（複数選択肢８）,問29．子どもをもたない理由は何ですか。（複数選択肢９）,問29．10．その他,問30．あなたは、あなたを含めたこれからの若者（18歳から39歳ぐらいまでの人）のために、市に期待する取組（若者の居場所支援や結婚支援等を含む）があればご記入ください。
187,3,1,2,5,,,,1,,5,,1,,,1,2,3,,2,,,,2,3,,,,2,3,,,,,2,,,,,1,11,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,2,3,4,,,,,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,,,1,2,12,,,,,,,1,13,12,11,10,9,8,14,6,5,7,4,2,3,,,,,,,,,,,,,,手当の充実
188,3,2,2,6,,,,1,,5,,4,,,2,,,,2,,,,1,2,,,,1,2,,,,,2,,,,,1,2,6,11,13,,,,,,2,1,13,15,6,,,,,,,,,2,,,,,,,,,,,,,3,1,4,5,7,,,,1,2,3,4,5,,,,,,,,,,8,,,,,,,カフェ的な感じで相談や交流ができる場所,3,1,,,,,,1,4,,,,,,,,10,,,,,,,,,2,5,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,,,,,経済的に困窮する若者への支援。高齢の方を助けることで賃金が得られるとか、格安で入居できる住宅とかあったらな。
189,4,1,1,5,,,,1,,5,,1,,,1,3,,,1,2,,,1,2,3,,,1,2,,,,,1,2,,,,1,2,3,,,,,,,,4,1,13,15,,,,,,,,,,2,,,,,,,,,,,,,5,1,2,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,2,7,10,,,,,,,子供が得意ではないから,狛江市内でのイベントの開催
190,3,2,2,5,,,,6,,5,,1,,,1,2,3,,1,2,,,1,2,3,,,1,2,,,,,1,,,,,3,11,,,,,,,,,4,1,2,15,,,,,,,,,,1,1,5,,,,,,1,,,,,,1,2,,,,,,4,1,,,,,,,,,,,,,6,8,,,,,,,3,,,,,,,1,3,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,子育て支援等や、介護支援はよく聞くが、子育て世代でもなく、高齢者世代でもない若者に還元される取り組みが少ないと感じるので、若者に還元される、税金の控除や、生活支援等の取組
191,4,2,1,5,,,,1,,5,,1,,,1,2,3,,1,,,,1,2,3,,,1,,,,,,1,,,,,1,2,3,,,,,,,,3,1,12,13,14,15,,,,,,,,2,,,,,,,,,,,,,5,1,2,,,,,,3,4,,,,,,,,,,,,,8,,,,,,,,3,4,,,,,,4,,,,,,,,,,,,,,,,,,3,1,2,3,4,5,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,"ゴミ袋を無料にする
保育園料を安くする
所得制限撤廃"
192,4,2,2,3,,,,1,,5,,1,,,1,3,,,1,,,,1,3,5,,,1,2,3,,,,1,2,,,,1,2,,,,,,,,,3,1,2,13,14,,,,,,,,,1,3,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1人でゆっくり滞在していても問題ない場所,3,,,,,,,1,3,8,,,,,,,10,,,,,,,,,2,1,2,5,11,12,15,,,,,,,,,,,,,,,,,,,,,市税の緩和
193,3,1,1,5,,,,1,,5,,1,,,1,2,,,1,2,,,1,,,,,1,,,,,,1,,,,,1,2,3,,,,,,,,3,1,2,,,,,,,,,,,1,2,,,,,,,1,,,,,,2,4,,,,,,2,4,,,,,,,,,,,,,2,,,,,,,,1,3,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,4,1,2,5,,,,1,,5,,1,,,2,,,,2,,,,2,,,,,2,,,,,,2,,,,,1,,,,,,,,,,3,1,8,13,15,,,,,,,,,2,,,,,,,,,,,,,3,2,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,3,8,,,,,,,1,2,10,,,,,,,2,2,3,8,10,12,13,,,,,,,,,,,,,,,,,,,,,
195,4,1,2,6,,,,1,,5,,1,,,3,5,,,,,,,1,2,3,5,,1,,,,,,,,,,,1,,,,,,,,,,2,1,13,4,8,14,15,,,,,,,2,,,,,,,,,,,,,3,9,,,,,,,8,,,,,,,1,,,,,,,,,,,,,,,5,6,,,,,,3,,,,,,,,,1,3,10,,,,,,,0,,,,,,,,,,,,,,,,,4,7,,,,,,,,,"税制優遇
補助金"
196,4,1,2,6,,,,1,,5,,1,,,1,,,,1,,,,1,,,,,1,,,,,,1,,,,,1,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,7,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,3,1,2,6,,,,1,,5,,1,,,1,2,3,,1,2,,,1,2,3,,,1,2,,,,,1,2,,,,1,2,3,11,,,,,,,2,1,2,10,,,,,,,,,,1,1,5,6,,,,,3,1,,,,,1,2,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,3,4,,,,,,,3,6,,,,,,,,2,2,4,8,12,,,,,,,,,,,,,,,,,,,,,,,
198,3,2,2,6,,,,1,,5,,1,,,2,,,,2,3,,,1,2,,,,1,2,3,,,,2,3,,,,1,2,3,5,13,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,4,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,3,4,,,,,,,6,,,,,,,,,2,3,4,5,13,2,1,14,15,11,12,10,9,8,,,,,,,,,,,,,,
199,4,1,2,6,,,,1,,5,,1,,,,,,,1,2,3,,,,,,,,,,,,,,,,,,1,2,7,,,,,,,,3,1,2,3,4,8,9,10,11,12,13,15,,2,,,,,,,,,,,,,3,9,,,,,,,1,,,,,,,1,2,4,5,6,,,,,,,,,,,4,3,,,,,,3,,,,,,,,,1,3,4,8,10,,,,,2,1,3,4,5,8,12,13,14,,,,,,,,,,,,,,,,,,,
200,5,2,1,5,,,,6,,2,,3,,,1,,,,1,,,,1,,,,,1,,,,,,1,,,,,6,2,3,11,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,2,1,5,9,10,11,12,13,14,15,8,,,,,,,,,,,,,,,,,
201,4,1,2,6,,,,1,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,,,,,,1,1,4,15,,,,,,,,,,2,,,,,,,,,,,,,1,7,,,,,,,8,,,,,,,,,,,,,,8,,,,,,,,3,,,,,,,3,,,,,,,,,1,2,3,,,,,,,1,4,5,8,10,12,,,,,,,,,,,,,,,,,,,,,,
202,3,2,1,5,,,,6,,5,,5,,,1,,,,2,,,,1,2,,,,1,2,,,,,,,,,,1,,,,,,,,,,2,1,1,3,9,10,15,13,,,,,,2,,,,,,,,,,,,,1,7,,,,,,,1,4,5,,,,,,,,,,,,,,,,,,,個室で自分の空間が侵されることのない場所,2,,,,,,,4,,,,,,,,,,,,,,,,,,1,1,2,3,4,5,8,10,11,12,14,15,,,,,,,,,,,,,,,,"税金で家計が圧迫されて生活が苦しいです
なにかサポート体制があれば助かります"
203,2,1,2,6,,,,1,,3,,1,,,1,3,5,,1,,,,1,3,,,,1,3,,,,,1,,,,,1,3,6,8,11,,,,,,4,1,8,11,13,15,,,,,,,,1,1,6,5,,,,,1,3,,,,,1,6,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,電話で悩み事を相談できるサービス(匿名で),3,4,,,,,,1,2,7,8,,,,,,3,4,5,10,,,,,,2,1,2,4,5,6,8,11,12,,,,,,,,,,,,,,,,,,,金銭的な支援
204,3,2,2,6,,,,1,,2,,1,,,1,2,,,1,2,,,1,2,,,,1,2,,,,,1,2,,,,1,11,12,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,3,,,,,,,12,,,,,,,,,3,1,2,3,4,5,7,8,9,10,12,11,13,14,15,,,,,,,,,,,,,"子育てのしやすい経済の支援
年金問題"
205,3,2,2,6,,,,1,,3,,1,,,2,,,,2,,,,2,,,,,1,,,,,,1,,,,,1,2,,,,,,,,,3,1,13,15,8,,,,,,,,,2,,,,,,,,,,,,,3,1,2,,,,,,4,1,5,,,,,,,,,,,,5,8,,,,,,,3,,,,,,,1,1,3,,,,,,,3,10,,,,,,,,2,5,8,12,,,,,,,,,,,,,,,,,,,,,,,,出身や趣味、仕事などなにか共通点がある人を合わせるマッチングアプリみたいなものを市が管轄してくれると安心感がある
206,3,1,2,2,4,,,1,,5,,1,,,1,2,3,,1,2,3,,1,2,3,,,1,2,3,,,,1,2,,,,1,7,8,,,,,,,,3,1,3,14,,,,,,,,,,2,,,,,,,,,,,,,3,2,,,,,,,3,4,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,3,,,,,,,,,4,,,,,,,,,1,3,5,7,,,,,,,,,,,,,,,,,,,,,,,,
