"施設の名称","所在地","電話番号","FAX番号","メールアドレス","施設（出入口）の利用可能時間","休業日","備考","施設（出入口）表示有無","施設（出入口）タイトル","出入口の段差","出入口のスロープ","施設出入口表示","施設出入口タイトル","出入口の幅（cm）_1","扉の開閉方式","トイレ1（内部）表示有無","トイレ1（内部）タイトル","車椅子対応_1","オストメイト対応_1","手すり_1","おむつ交換台_1","大人用ベッド_1","音声・音響案内_1","トイレ1（周辺）表示有無","トイレ1（周辺）タイトル","視覚障害者用誘導用ブロック_1","出入口の幅（cm）_2","出入口扉の開閉形式_1","内部の幅／奥行（cm）_1","ベビーチェア_1","背もたれ_1","トイレ2（内部）表示有無","トイレ2（内部）タイトル","車椅子対応_2","オストメイト対応_2","手すり_2","おむつ交換台_2","大人用ベッド_2","音声・音響案内_2","トイレ2（周辺）表示有無","トイレ2（周辺）タイトル","視覚障害者用誘導用ブロック_2","出入口の幅（cm）_3","出入口扉の開閉形式_2","内部の幅／奥行（cm）_2","ベビーチェア_2","背もたれ_2","トイレ3（内部）表示有無","トイレ3（内部）タイトル","車椅子対応_3","オストメイト対応_3","手すり_3","おむつ交換台_3","大人用ベッド_3","音声・音響案内_3","トイレ3（周辺）表示有無","トイレ3（周辺）タイトル","視覚障害者用誘導用ブロック_3","出入口の幅（cm）_4","出入口扉の開閉形式_3","内部の幅／奥行（cm）_3","ベビーチェア_3","背もたれ_3","エレベーター表示有無","エレベータータイトル","エレベーター","点字表記","車椅子使用者対応","音声・音響案内_4","出入口の幅（cm）_5","内部の幅／奥行（cm）_4","鏡","手すり_4","視覚障害者誘導用ブロック_1","エスカレーター表示有無","エスカレータータイトル","エスカレーター","音声・音響案内_5","階段・通路表示有無","階段・通路タイトル","階段なし","スロープ","手すり_5","視覚障害者誘導用ブロック_2","障害者用駐車区画表示有無","障害者用駐車区画タイトル","障害者用駐車区画","障害者用駐車区画の台数","一般駐車区画","子ども関連1表示有無","子ども関連1タイトル","授乳スペース","おむつ交換台_4","乳幼児用ベッド","子ども関連2表示有無","子ども関連2タイトル","ベビーカー貸出","キッズスペース","流し台","湯沸かし器","障害特性表示有無","障害特性タイトル","車椅子対応座席・設備","案内表示","音声案内設備","字幕・文字情報提供設備","建物内の視覚障害者誘導用ブロック","筆談対応","休憩用ベンチ","その他表示有無","その他タイトル","AED","経度","緯度","分類"
"南中野中学校","中野区南台5-22-17","03-3381-7277","03-3381-7278","nk-minaminakano-jhs＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","有","有","有","","150","手動（開き戸）","有","","有","無","有","無","無","無","有","","無","90","扉はない","150/90","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","無","有","無","有","","有","139.662432364316","35.682568961712","教育機関"
"新井南公園","中野区新井2-31","","","","","","","有","","無","無","有","","150","-","有","","有","有","有","有","無","無","有","","無","95","手動（引き戸）","200/220","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.66248487684","35.710607046446","文化・レクリエーション・レジャー施設"
"中野区立総合体育館","中野区新井3-37-78","03-5860-0024","03-3386-6525","","６時４５分から２２時３０分","毎月第２月曜日（休日にあたる日はその翌日）、年末年始（１２月２９日から１月３日）","","有","","無","無","有","","180","自動ドア","有","","有","有","有","有","有","無","有","","無","90","自動ドア","180/360","有","無","有","","有","有","有","有","有","無","有","","無","90","自動ドア","180/360","有","無","有","","有","有","有","有","有","無","有","","無","90","自動ドア","180/360","有","無","有","","有","有","有","有","120","160/200","無","有","無","","","無","無","有","","有","無","有","無","有","","有","2","有","有","","有","有","有","有","","無","有","無","無","有","","有","有","無","無","無","有","無","有","","有","139.662941466813","35.7157521198695","文化・レクリエーション・レジャー施設"
"中野区障害者福祉会館","中野区沼袋2-40-18","03-3389-2171","03-3389-2175","na_shoukan@ikuseikai-tky.or.jp","9:00～22:00","1/1～3、12/29～31、毎月第3月曜日","","有","","無","有","有","","155","自動ドア","有","","有","有","有","有","無","無","有","","有","95","自動ドア","200/220","有","有","有","","有","有","有","有","無","無","有","","有","95","自動ドア","225/160","有","有","有","","有","有","有","有","無","無","有","","有","95","自動ドア","225/160","有","有","有","","有","有","有","有","110","150/230","有","有","有","","","無","-","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","有","有","有","有","","有","139.663046918497","35.7236111484331","医療・保健福祉施設"
"沼袋区民活動センター","中野区沼袋2-40-18","03-3389-4571","03-3389-4636","numabukurokukatu@city.tokyo-nakano.lg.jp","①窓口受付 午前8時半から午後5時 ②集会室など 午前9時から午後10時","①窓口受付 土曜日・日曜日・祝日及び振替休日・年末年始（12月29日～1月3日） ②集会室など 毎月第3月曜日（祝日に当たるときは、直後の休日でない日）、年末年始（12月29日～1月3日）※第3月曜日が利用可能な場合もありますので、詳しくはお問い合わせください。","","有","","無","無","有","","160","自動ドア","有","","無","有","有","有","無","無","有","","無","80","自動ドア","170／220","有","有","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","無","110","140／230","有","有","有","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","有","有","有","有","","有","139.663046918497","35.7236111484331","官公庁施設"
"新井区民活動センター","中野区新井3-11-4","03-3389-1411","03-3389-1417","araikukatu＠city.tokyo-nakano.lg.jp","①窓口受付 午前8時半から午後5時 ②集会室など 午前9時から午後10時","①窓口受付 土曜日・日曜日・祝日及び振替休日・年末年始（12月29日～1月3日） ②集会室など 毎月第3月曜日（祝日に当たるときは、直後の休日でない日）、年末年始（12月29日～1月3日）※第3月曜日が利用可能な場合もありますので、詳しくはお問い合わせください。","","有","","無","無","有","","140","自動ドア","有","","有","無","有","有","無","無","有","","無","94","手動（引き戸）","170/200","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","90","135/130","有","有","有","","","無","-","有","","有","無","有","有","","","無","-","無","有","","無","有","無","","","無","無","無","無","有","","無","有","無","無","有","有","有","有","","有","139.663561921291","35.7142517270021","官公庁施設"
"南台公園","中野区南台5-7","","","","","","","有","","無","無","有","","250","-","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","250/200","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.663688672486","35.6812966000507","文化・レクリエーション・レジャー施設"
"中央西公園","中野区中央5-27","","","","","","","有","","無","有","有","","140","-","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","240/200","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.663745443547","35.6993105140325","文化・レクリエーション・レジャー施設"
"中野都税事務所","中野区中野4-6-15","03-3386-1111","03-3385-5623","","8：30～17：00","土・日・祝日","","有","","無","無","有","","150","自動ドア","有","","有","有","有","有","無","無","有","","無","100","自動ドア","215/210","有","有","有","","有","有","有","無","無","無","有","","無","100","自動ドア","215/230","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","90","160/150","有","有","無","","","無","-","有","","有","無","有","無","有","","有","2","有","","","無","無","無","","","無","無","無","無","有","","有","有","無","無","無","有","有","有","","有","139.663754045494","35.7096244898216","その他公共施設"
"南台三丁目公園","中野区南台3-41","","","","","","","有","","無","無","有","","90","-","有","","有","有","有","有","無","無","有","","有","95","手動（引き戸）","210/205","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.663865246427","35.6824487701498","文化・レクリエーション・レジャー施設"
"中野区役所庁舎","中野区中野4-8-1","03-3389-1111","03-3228-5645","","8:30～17:00","土・日・祝日","","有","","無","無","有","","120","自動ドア","有","","有","無","有","有","有","無","有","","無","100","手動（引き戸）","300/260","有","無","有","","有","有","有","無","無","無","有","","無","90","手動（引き戸）","220/170","無","有","有","","有","無","有","無","無","無","有","","無","100","手動（引き戸）","190/200","有","有","有","","有","有","有","有","85","150/140","有","有","有","","","無","無","有","","有","無","有","有","有","","有","2","有","有","","有","無","無","有","","無","有","無","無","有","","無","有","無","有","有","有","無","有","","有","139.663854954182","35.7073743439745","官公庁施設"
"中野三丁目敬老館","中野区中野3ｰ23ｰ47","03ｰ6304ｰ8579","03ｰ6304ｰ8579","","９：００～１７：００","土・日・祝日・年末年始","","有","","無","無","有","","180","手動（引き戸）","有","","有","無","有","無","無","無","有","","無","85","手動（開き戸）","160/200","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","有","","有","139.664106310094","35.7016301605219","医療・保健福祉施設"
"西武新宿線沼袋駅","中野区沼袋1-35-1","03-3386-6151","","","4：46～翌0：29","","","有","","無","無","有","","420","-","有","","有","有","有","有","無","無","有","","有","100","自動ドア","270/320","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","有","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","有","有","無","有","有","有","有","有","","有","139.664399896989","35.7192771901711","公共交通施設"
"なかのサンクォーレ","中野区中野4-3-1","03-5343-0788","","","10：00～23：00（ブックファーストの営業時間です）","11月第2水曜日他、各店舗による","","有","","有","有","有","","100","自動ドア","有","","有","無","有","有","無","無","有","","無","100","手動（引き戸）","200/180","無","有","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","無","90","160/150","有","無","無","有","","有","無","有","","有","無","有","無","有","","有","1","無","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","","","無","139.664638798117","35.7088122387028","商業施設"
"中野南台郵便局","中野区南台3-37-8","03-3382-9833","","","9:00～17:00","土・日・祝日・12/31～1/3","","有","","無","有","有","","88","自動ドア","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","有","無","","","無","139.664693850267","35.6828376619139","郵便局"
"れんげ公園","中野区弥生町5-8","","","","","","","有","","無","無","有","","130","-","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","220/200","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.664860663318","35.6887754014406","文化・レクリエーション・レジャー施設"
