316 ,日本橋芝浦大森線,中央区銀座8-14-14,41930 ,"4,696 ","1,303 ","2,412 ",      －,      －,      －,      －,"34,752 ","4,646 ","39,398 ",11.8 ,"3,870 ",9.8 ,1.44 ,1.60 ,41850 ,"38,744 ",1.02 ,29.9 ,21.9 ,9月28日(火),曇,国土交通省,316 ,日本橋芝浦大森線,41930 ,
316 ,日本橋芝浦大森線,品川区東品川2-2,41950 ,"2,847 ","1,595 ",910 ,      －,      －,      －,      －,"12,374 ","3,046 ","15,420 ",19.8 ,"1,403 ",9.1 ,1.36 ,0.59 ,41870 ,"18,788 ",0.82 ,27.6 ,15.6 ,11月30日(火),晴,国土交通省,316 ,日本橋芝浦大森線,41950 ,
316 ,日本橋芝浦大森線,港区港南2-10-9,41960 ,"4,679 ","1,610 ",674 ,      －,      －,      －,      －,"10,681 ","3,827 ","14,508 ",26.4 ,"1,403 ",9.7 ,1.34 ,0.70 ,41880 ,"16,271 ",0.89 ,26.9 ,23.4 ,11月30日(火),晴,国土交通省,316 ,日本橋芝浦大森線,41960 ,
316 ,日本橋芝浦大森線,品川区勝島2-1,41980 ,621 ,956 ,372 ,      －,      －,      －,      －,"8,543 ","5,342 ","13,885 ",38.5 ,"1,457 ",10.5 ,1.30 ,0.64 ,41900 ,"7,266 ",1.91 ,16.2 ,32.1 ,11月30日(火),晴,国土交通省,316 ,日本橋芝浦大森線,41980 ,
316 ,日本橋芝浦大森線,品川区八潮2-6-4,41990 ,894 ,198 ,312 ,      －,      －,      －,      －,"2,294 ","11,882 ","14,176 ",83.8 ,"1,509 ",10.6 ,1.33 ,1.12 ,41910 ,"13,824 ",1.03 ,16.3 ,17.8 ,11月30日(火),晴,国土交通省,316 ,日本橋芝浦大森線,41990 ,
317 ,環状六号線,豊島区南長崎1-1-22,42020 ,"2,375 ","3,373 ","1,684 ",      －,      －,      －,      －,"21,008 ","2,345 ","23,353 ",10.0 ,"3,014 ",12.9 ,1.40 ,1.86 ,42060 ,"24,016 ",0.97 ,11.0 ,15.0 ,9月7日(火),曇,国土交通省,317 ,環状六号線,42020 ,
317 ,環状六号線,品川区大崎1-17,42030 ,"2,255 ",632 ,"1,135 ","7,483 ","4,298 ",278 ,"2,987 ","11,781 ","3,265 ","15,046 ",21.7 ,"1,362 ",9.1 ,1.35 ,0.95 ,41940 ,"17,594 ",0.86 ,18.3 ,17.9 ,11月18日(木),曇,東京都,317 ,環状六号線,42030 ,
317 ,環状六号線,目黒区下目黒3-9-5,42050 ,"1,782 ","1,901 ","1,866 ",      －,      －,      －,      －,"18,964 ","2,897 ","21,861 ",13.3 ,"2,004 ",9.2 ,1.39 ,1.10 ,41960 ,"23,471 ",0.93 ,33.4 ,51.7 ,9月16日(木),晴,国土交通省,317 ,環状六号線,42050 ,
317 ,環状六号線,目黒区駒場1-1-7,42070 ,"1,188 ","2,111 ","1,651 ",      －,      －,      －,      －,"22,027 ","2,218 ","24,245 ",9.1 ,"2,283 ",9.4 ,1.48 ,0.73 ,41980 ,"28,032 ",0.86 ,11.4 ,19.8 ,9月7日(火),曇,国土交通省,317 ,環状六号線,42070 ,
,,,,     －,     －,     －,      －,      －,      －,      －,"32,441 ","3,331 ","35,772 ",9.3 ,,,,,,"43,726 ",0.82 ,,,,,,,,,
317 ,環状六号線,渋谷区元代々木町1,42080 ,"6,254 ","3,654 ","2,066 ","12,973 ","5,429 ",625 ,"1,611 ","18,402 ","2,236 ","20,638 ",10.8 ,"1,840 ",8.9 ,1.40 ,1.01 ,41990 ,"24,796 ",0.83 ,20.8 ,8.9 ,11月17日(水),晴,東京都,317 ,環状六号線,42080 ,
317 ,環状六号線,渋谷区初台1-46-3,42090 ,"3,556 ","2,997 ","1,648 ",      －,      －,      －,      －,"24,808 ","3,135 ","27,943 ",11.2 ,"3,125 ",11.2 ,1.41 ,1.90 ,42000 ,"28,625 ",0.98 ,30.2 ,7.7 ,9月7日(火),曇,国土交通省,317 ,環状六号線,42090 ,
317 ,環状六号線,渋谷区本町3-52-8,42100 ,"4,208 ","2,891 ","1,600 ",      －,      －,      －,      －,"19,504 ","2,668 ","22,172 ",12.0 ,"1,998 ",9.0 ,1.41 ,0.96 ,42010 ,"26,558 ",0.83 ,12.3 ,10.8 ,11月30日(火),晴,国土交通省,317 ,環状六号線,42100 ,
317 ,環状六号線,中野区弥生町1-12-2,42110 ,"2,094 ","2,984 ","1,367 ",      －,      －,      －,      －,"21,606 ","2,680 ","24,286 ",11.0 ,"2,322 ",9.6 ,1.42 ,1.22 ,42020 ,"31,752 ",0.76 ,14.1 ,17.3 ,11月11日(木),晴,国土交通省,317 ,環状六号線,42110 ,
317 ,環状六号線,中野区東中野3-14-21,42120 ,"7,602 ","4,386 ","1,774 ",      －,      －,      －,      －,"19,466 ","2,304 ","21,770 ",10.6 ,"1,984 ",9.1 ,1.40 ,0.95 ,42030 ,"24,737 ",0.88 ,19.2 ,12.6 ,11月17日(水),晴,国土交通省,317 ,環状六号線,42120 ,
317 ,環状六号線,豊島区高松1-11-15,42150 ,"3,292 ","2,942 ","1,357 ",      －,      －,      －,      －,"20,304 ","2,747 ","23,051 ",11.9 ,"2,086 ",9.0 ,1.40 ,1.22 ,42065 ,"23,864 ",0.97 ,11.5 ,19.1 ,10月28日(木),晴,国土交通省,317 ,環状六号線,42150 ,
317 ,環状六号線,品川区東五反田3-20,42170 ,"3,993 ","1,223 ",931 ,"7,706 ","2,917 ",328 ,"1,206 ","10,623 ","1,534 ","12,157 ",12.6 ,"1,155 ",9.5 ,1.34 ,0.72 ,42080 ,"14,369 ",0.85 ,17.6 ,17.1 ,11月18日(木),曇,東京都,317 ,環状六号線,42170 ,
317 ,環状六号線,目黒区上目黒1-1-5,42200 ,"7,615 ","5,761 ","1,483 ",      －,      －,      －,      －,"15,135 ","1,261 ","16,396 ",7.7 ,"1,461 ",8.9 ,1.36 ,1.00 ,42110 ,"19,520 ",0.84 ,20.7 ,6.0 ,9月8日(水),曇,国土交通省,317 ,環状六号線,42200 ,
318 ,環状七号線,大田区大森本町2-25,42240 ,"2,150 ","1,714 ","2,585 ","10,971 ","7,353 ",444 ,"9,677 ","18,324 ","10,121 ","28,445 ",35.6 ,"2,607 ",9.2 ,1.41 ,1.31 ,42160 ,"28,701 ",0.99 ,21.4 ,12.3 ,11月18日(木),曇,東京都,318 ,環状七号線,42240 ,
318 ,環状七号線,大田区大森北5-16,42250 ,525 ,"1,802 ","2,970 ","14,300 ","9,647 ",125 ,"7,341 ","23,947 ","7,466 ","31,413 ",23.8 ,"2,791 ",8.9 ,1.42 ,1.30 ,42170 ,"30,710 ",1.02 ,8.6 ,19.7 ,11月18日(木),曇,東京都,318 ,環状七号線,42250 ,
318 ,環状七号線,目黒区南3-12-2,42270 ,"1,294 ","1,753 ","2,412 ",      －,      －,      －,      －,"25,447 ","5,129 ","30,576 ",16.8 ,"2,738 ",9.0 ,1.43 ,1.62 ,42190 ,"33,623 ",0.91 ,21.3 ,19.4 ,11月30日(火),晴,国土交通省,318 ,環状七号線,42270 ,
318 ,環状七号線,目黒区柿の木坂2-4-3,42280 ,654 ,"1,734 ","2,733 ",      －,      －,      －,      －,"29,656 ","5,989 ","35,645 ",16.8 ,"3,229 ",9.1 ,1.42 ,1.43 ,42200 ,"32,018 ",1.11 ,34.6 ,34.6 ,11月30日(火),晴,国土交通省,318 ,環状七号線,42280 ,
318 ,環状七号線,世田谷区若林5-32,42290 ,"1,538 ","2,168 ","2,993 ","21,238 ","11,564 ",209 ,"5,601 ","32,802 ","5,810 ","38,612 ",15.0 ,"3,602 ",9.3 ,1.48 ,0.85 ,42210 ,"41,798 ",0.92 ,24.4 ,20.8 ,11月17日(水),晴,東京都,318 ,環状七号線,42290 ,
,,,,"2,058 ","2,823 ","4,559 ","32,677 ","15,618 ",277 ,"8,509 ","48,295 ","8,786 ","57,081 ",15.4 ,,,,,,"62,233 ",0.92 ,,,,,,,,,
318 ,環状七号線,世田谷区大原2-23-18,42300 ,"1,443 ","3,733 ","2,577 ",      －,      －,      －,      －,"30,414 ","5,038 ","35,452 ",14.2 ,"4,195 ",11.8 ,1.43 ,1.47 ,42220 ,"35,650 ",0.99 ,15.3 ,13.7 ,11月30日(火),晴,国土交通省,318 ,環状七号線,42300 ,
318 ,環状七号線,杉並区和田3-17,42310 ,"1,682 ","3,115 ","2,536 ","20,768 ","12,018 ",417 ,"6,012 ","32,786 ","6,429 ","39,215 ",16.4 ,"3,539 ",9.0 ,1.44 ,1.08 ,42230 ,"41,981 ",0.93 ,21.0 ,15.6 ,12月2日(木),晴,東京都,318 ,環状七号線,42310 ,
318 ,環状七号線,杉並区高円寺北2-29-14,42320 ,"1,725 ","3,371 ","2,854 ",      －,      －,      －,      －,"43,659 ","6,725 ","50,384 ",13.3 ,"5,181 ",10.3 ,1.44 ,1.35 ,42240 ,"43,014 ",1.17 ,9.5 ,39.3 ,9月9日(木),曇,国土交通省,318 ,環状七号線,42320 ,
318 ,環状七号線,中野区丸山2-7-13,42330 ,"1,243 ","1,509 ","2,295 ",      －,      －,      －,      －,"30,416 ","6,017 ","36,433 ",16.5 ,"3,515 ",9.6 ,1.43 ,1.48 ,42250 ,"37,519 ",0.97 ,10.4 ,26.3 ,9月9日(木),曇,国土交通省,318 ,環状七号線,42330 ,
318 ,環状七号線,板橋区小茂根4-25-5,42350 ,"1,099 ","2,144 ","1,838 ",      －,      －,      －,      －,"24,694 ","4,508 ","29,202 ",15.4 ,"2,811 ",9.6 ,1.45 ,1.26 ,42270 ,"34,165 ",0.85 ,23.8 ,12.6 ,9月9日(木),曇,国土交通省,318 ,環状七号線,42350 ,
,,,,     －,     －,     －,      －,      －,      －,      －,"35,195 ","7,187 ","42,382 ",17.0 ,,,,,,"50,150 ",0.85 ,,,,,,,,,
318 ,環状七号線,板橋区清水町4,42360 ,"1,925 ","2,477 ","2,401 ",      －,      －,      －,      －,"26,874 ","5,385 ","32,259 ",16.7 ,"3,654 ",11.3 ,1.43 ,1.58 ,42280 ,"35,630 ",0.91 ,15.3 ,24.8 ,10月27日(水),曇,国土交通省,318 ,環状七号線,42360 ,
318 ,環状七号線,足立区新田1-1,42370 ,"1,256 ","1,457 ","1,914 ",      －,      －,      －,      －,"30,777 ","6,493 ","37,270 ",17.4 ,"3,447 ",9.2 ,1.43 ,1.81 ,42290 ,"39,994 ",0.93 ,17.0 ,13.3 ,10月19日(火),曇,国土交通省,318 ,環状七号線,42370 ,
318 ,環状七号線,足立区中川4-33-2,42390 ,"1,891 ","2,920 ","1,236 ",      －,      －,      －,      －,"21,549 ","5,468 ","27,017 ",20.2 ,"2,491 ",9.2 ,1.41 ,1.54 ,42300 ,"27,772 ",0.97 ,37.1 ,13.1 ,9月16日(木),晴,国土交通省,318 ,環状七号線,42390 ,
318 ,環状七号線,葛飾区奥戸6-1-4,42410 ,151 ,718 ,"1,494 ",      －,      －,      －,      －,"23,014 ","7,037 ","30,051 ",23.4 ,"2,796 ",9.3 ,1.43 ,1.91 ,42320 ,"32,999 ",0.91 ,19.6 ,34.0 ,9月14日(火),曇,国土交通省,318 ,環状七号線,42410 ,
318 ,環状七号線,江戸川区西瑞江5,42420 ,"1,163 ","1,898 ","1,412 ","11,816 ","5,508 ",627 ,"5,134 ","17,324 ","5,761 ","23,085 ",25.0 ,"2,078 ",9.0 ,1.40 ,1.15 ,42330 ,"24,618 ",0.94 ,17.7 ,21.7 ,9月29日(水),晴,東京都,318 ,環状七号線,42420 ,
,,,,"1,643 ","2,454 ","2,178 ","17,027 ","7,316 ",826 ,"7,213 ","24,343 ","8,039 ","32,382 ",24.8 ,,,,,,"35,303 ",0.92 ,,,,,,,,,
318 ,環状七号線,江戸川区南葛西1-12,42430 ,"1,716 ","4,335 ","1,102 ","7,979 ","3,341 ",732 ,"4,397 ","11,320 ","5,129 ","16,449 ",31.2 ,"1,500 ",9.1 ,1.37 ,0.65 ,42340 ,"20,584 ",0.80 ,21.0 ,17.1 ,9月29日(水),晴,東京都,318 ,環状七号線,42430 ,
319 ,環状三号線,港区東麻布3-10,42440 ,"5,252 ","2,381 ","1,046 ","11,251 ","3,487 ",257 ,"1,889 ","14,738 ","2,146 ","16,884 ",12.7 ,"1,687 ",10.0 ,1.36 ,1.14 ,42360 ,"18,215 ",0.93 ,19.2 ,19.6 ,11月16日(火),晴,東京都,319 ,環状三号線,42440 ,
319 ,環状三号線,新宿区霞ヶ丘町14,42460 ,"3,388 ","1,345 ",989 ,      －,      －,      －,      －,"17,297 ","1,204 ","18,501 ",6.5 ,"1,665 ",9.0 ,1.37 ,0.69 ,42380 ,"21,058 ",0.88 ,18.2 ,26.1 ,10月6日(水),晴,国土交通省,319 ,環状三号線,42460 ,
319 ,環状三号線,新宿区早稲田鶴巻町565-12,42470 ,"1,416 ",906 ,491 ,      －,      －,      －,      －,"6,981 ",756 ,"7,737 ",9.8 ,750 ,9.7 ,1.30 ,0.92 ,42390 ,"8,057 ",0.96 ,12.9 ,13.9 ,11月16日(火),曇,国土交通省,319 ,環状三号線,42470 ,
319 ,環状三号線,文京区根津2-16-9,42480 ,"4,156 ","1,507 ",500 ,      －,      －,      －,      －,"8,289 ",845 ,"9,134 ",9.3 ,856 ,9.4 ,1.31 ,1.13 ,42400 ,"9,578 ",0.95 ,9.9 ,16.1 ,10月7日(木),曇,国土交通省,319 ,環状三号線,42480 ,
319 ,環状三号線,墨田区吾妻橋2-14,42500 ,"1,726 ",797 ,"1,089 ","9,669 ","5,084 ",257 ,"2,486 ","14,753 ","2,743 ","17,496 ",15.7 ,"1,689 ",9.7 ,1.37 ,1.12 ,42420 ,"20,041 ",0.87 ,16.7 ,15.0 ,10月13日(水),雨,東京都,319 ,環状三号線,42500 ,
319 ,環状三号線,墨田区菊川3-1-2,42510 ,"4,440 ",888 ,915 ,      －,      －,      －,      －,"11,643 ","2,843 ","14,486 ",19.6 ,"1,401 ",9.7 ,1.43 ,0.84 ,42430 ,"16,055 ",0.90 ,10.5 ,18.2 ,9月14日(火),曇,国土交通省,319 ,環状三号線,42510 ,
,,,,     －,     －,     －,      －,      －,      －,      －,"16,680 ","3,970 ","20,650 ",19.2 ,,,,,,"23,079 ",0.89 ,,,,,,,,,
319 ,環状三号線,江東区木場5-6,42520 ,"8,192 ","3,269 ","1,015 ","8,970 ","4,884 ",334 ,"4,749 ","13,854 ","5,083 ","18,937 ",26.8 ,"1,691 ",8.9 ,1.38 ,1.25 ,42440 ,"21,858 ",0.87 ,14.4 ,10.7 ,12月9日(木),晴,東京都,319 ,環状三号線,42520 ,
319 ,環状三号線,江東区枝川1-9,42530 ,"8,097 ","5,442 ","1,317 ","8,791 ","3,168 ",714 ,"2,322 ","11,959 ","3,036 ","14,995 ",20.2 ,"1,336 ",8.9 ,1.34 ,0.62 ,42460 ,"15,677 ",0.96 ,13.4 ,13.5 ,12月9日(木),晴,東京都,319 ,環状三号線,42530 ,
102 ,平方東京線,足立区南花畑1丁目14-26,60010 ,23 ,215 ,177 ,875 ,459 ,3 ,286 ,"1,334 ",289 ,"1,623 ",17.8 ,224 ,13.8 ,1.25 ,0.36 ,60010 ,"3,936 ",0.41 ,17.1 ,28.2 ,10月12日(火),曇,東京都,102 ,平方東京線,60010 ,
103 ,吉場安行東京線,足立区東伊興3丁目15,60030 ,252 ,"1,550 ",648 ,"6,368 ","2,351 ",115 ,"1,560 ","8,719 ","1,675 ","10,394 ",16.1 ,942 ,9.1 ,1.32 ,1.05 ,60030 ,"11,336 ",0.92 ,12.7 ,11.1 ,10月12日(火),曇,東京都,103 ,吉場安行東京線,60030 ,
103 ,吉場安行東京線,足立区竹の塚2丁目17,60040 ,155 ,406 ,301 ,"3,100 ","1,247 ",14 ,384 ,"4,347 ",398 ,"4,745 ",8.4 ,444 ,9.4 ,1.26 ,0.61 ,60040 ,"4,721 ",1.01 ,16.6 ,13.6 ,10月12日(火),曇,東京都,103 ,吉場安行東京線,60040 ,
104 ,川口草加線,足立区入谷8-16,60050 ,219 ,844 ,327 ,      －,      －,      －,      －,"6,191 ","2,613 ","8,804 ",29.7 ,851 ,9.7 ,1.31 ,1.07 ,60050 ,"9,709 ",0.91 ,20.4 ,12.4 ,9月16日(木),晴,国土交通省,104 ,川口草加線,60050 ,
106 ,東京鳩ヶ谷線,足立区鹿浜7丁目18,60080 ,360 ,"1,016 ",313 ,"3,089 ","1,633 ",121 ,554 ,"4,722 ",675 ,"5,397 ",12.5 ,597 ,11.1 ,1.28 ,1.09 ,60080 ,"5,535 ",0.98 ,13.9 ,19.1 ,10月12日(火),曇,東京都,106 ,東京鳩ヶ谷線,60080 ,
106 ,東京鳩ヶ谷線,足立区入谷9-18,60090 ,181 ,450 ,202 ,      －,      －,      －,      －,"4,604 ","1,321 ","5,925 ",22.3 ,625 ,10.5 ,1.29 ,0.88 ,60090 ,"6,233 ",0.95 ,18.8 ,21.4 ,9月16日(木),晴,国土交通省,106 ,東京鳩ヶ谷線,60090 ,
107 ,東京川口線,足立区鹿浜5-2,60120 ,225 ,680 ,549 ,      －,      －,      －,      －,"10,389 ","2,652 ","13,041 ",20.3 ,"1,749 ",13.4 ,1.33 ,1.83 ,60120 ,"12,092 ",1.08 ,6.7 ,17.5 ,11月17日(水),晴,国土交通省,107 ,東京川口線,60120 ,
108 ,東京朝霞線,練馬区大泉町3-25-4,60140 ,180 ,677 ,377 ,      －,      －,      －,      －,"5,009 ",514 ,"5,523 ",9.3 ,659 ,11.9 ,1.27 ,0.92 ,60140 ,"5,006 ",1.10 ,18.9 ,15.2 ,9月9日(木),曇,国土交通省,108 ,東京朝霞線,60140 ,
111 ,大田神奈川線,大田区下丸子2,60150 ,"2,503 ","2,153 ",920 ,      －,      －,      －,      －,"6,641 ",985 ,"7,626 ",12.9 ,880 ,11.5 ,1.30 ,1.02 ,60150 ,"8,298 ",0.92 ,17.4 ,8.8 ,9月8日(水),曇,国土交通省,111 ,大田神奈川線,60150 ,
113 ,杉並武蔵野線,杉並区西荻北4-27,60160 ,"1,893 ","1,153 ",275 ,      －,      －,      －,      －,"4,314 ",567 ,"4,881 ",11.6 ,482 ,9.9 ,1.27 ,0.67 ,60160 ,"5,147 ",0.95 ,15.0 ,21.1 ,11月17日(水),晴,国土交通省,113 ,杉並武蔵野線,60160 ,
116 ,関町吉祥寺線,武蔵野市吉祥寺東町2-15-1,60170 ,"1,726 ","2,748 ",366 ,      －,      －,      －,      －,"5,000 ",879 ,"5,879 ",15.0 ,561 ,9.5 ,1.30 ,0.90 ,60170 ,"8,459 ",0.69 ,13.5 ,17.6 ,9月9日(木),曇,国土交通省,116 ,関町吉祥寺線,60170 ,
117 ,世田谷三鷹線,三鷹市北野4-8-32,60180 ,368 ,"1,186 ",281 ,      －,      －,      －,      －,"5,024 ",591 ,"5,615 ",10.5 ,535 ,9.5 ,1.30 ,0.72 ,60180 ,"7,198 ",0.78 ,13.3 ,23.0 ,10月19日(火),曇,国土交通省,117 ,世田谷三鷹線,60180 ,
118 ,調布経堂停車場線,調布市仙川町1-34,60190 ,"1,109 ",919 ,332 ,      －,      －,      －,      －,"4,237 ",246 ,"4,483 ",5.5 ,417 ,9.3 ,1.26 ,0.74 ,60190 ,"4,648 ",0.96 ,14.8 ,12.3 ,11月30日(火),晴,国土交通省,118 ,調布経堂停車場線,60190 ,
118 ,調布経堂停車場線,世田谷区桜上水2-5,60220 ,"1,607 ","4,319 ",631 ,"4,613 ","2,138 ",297 ,669 ,"6,751 ",966 ,"7,717 ",12.5 ,739 ,9.6 ,1.31 ,1.30 ,60220 ,"8,589 ",0.90 ,10.8 ,13.2 ,11月17日(水),晴,東京都,118 ,調布経堂停車場線,60220 ,
233 ,東大泉田無線,練馬区南大泉3-31,60240 ,"3,367 ","1,750 ",250 ,      －,      －,      －,      －,"4,278 ",506 ,"4,784 ",10.6 ,497 ,10.4 ,1.28 ,0.77 ,60240 ,"5,588 ",0.86 ,8.9 ,11.2 ,10月13日(水),雨,国土交通省,233 ,東大泉田無線,60240 ,
239 ,足立川口線,足立区入谷9-4-13,60250 ,142 ,755 ,664 ,      －,      －,      －,      －,"9,782 ","4,413 ","14,195 ",31.1 ,"1,406 ",9.9 ,1.34 ,0.97 ,60250 ,"15,659 ",0.91 ,14.0 ,32.9 ,9月16日(木),晴,国土交通省,239 ,足立川口線,60250 ,
245 ,杉並田無線,練馬区下石神井4-1-3,60270 ,589 ,"1,580 ",512 ,      －,      －,      －,      －,"13,287 ","1,468 ","14,755 ",9.9 ,"1,273 ",8.6 ,1.34 ,1.30 ,60270 ,"14,090 ",1.05 ,13.3 ,11.5 ,9月9日(木),曇,国土交通省,245 ,杉並田無線,60270 ,
245 ,杉並田無線,練馬区関町北4-30,60280 ,552 ,"1,667 ",554 ,      －,      －,      －,      －,"8,782 ","1,124 ","9,906 ",11.3 ,"1,265 ",12.8 ,1.31 ,1.54 ,60280 ,"9,452 ",1.05 ,13.0 ,15.2 ,11月17日(水),晴,国土交通省,245 ,杉並田無線,60280 ,
403 ,大手町湯島線,千代田区神田駿河台4-5,60330 ,"16,978 ",963 ,485 ,      －,      －,      －,      －,"9,048 ",917 ,"9,965 ",9.2 ,969 ,9.7 ,1.33 ,0.55 ,60320 ,"12,900 ",0.77 ,17.4 ,15.0 ,10月21日(木),曇,国土交通省,403 ,大手町湯島線,60330 ,
405 ,外濠環状線,港区虎ノ門2-1-1,60360 ,"4,998 ","1,324 ","1,085 ",      －,      －,      －,      －,"17,608 ","1,510 ","19,118 ",7.9 ,"1,771 ",9.3 ,1.40 ,0.76 ,60350 ,"25,215 ",0.76 ,14.2 ,18.7 ,9月16日(木),晴,国土交通省,405 ,外濠環状線,60360 ,
405 ,外濠環状線,港区元赤坂2,60370 ,"1,872 ",887 ,793 ,      －,      －,      －,      －,"11,010 ",875 ,"11,885 ",7.4 ,"1,096 ",9.2 ,1.34 ,0.98 ,60360 ,"15,732 ",0.76 ,27.9 ,20.3 ,10月6日(水),晴,国土交通省,405 ,外濠環状線,60370 ,
405 ,外濠環状線,新宿区揚場町1-11,60390 ,"7,427 ","1,824 ","1,146 ",      －,      －,      －,      －,"16,052 ","1,362 ","17,414 ",7.8 ,"1,712 ",9.8 ,1.37 ,0.93 ,60380 ,"19,729 ",0.88 ,16.7 ,16.9 ,10月21日(木),曇,国土交通省,405 ,外濠環状線,60390 ,
405 ,外濠環状線,文京区湯島1-4,60400 ,"4,560 ","1,028 ",666 ,      －,      －,      －,      －,"9,855 ","1,067 ","10,922 ",9.8 ,"1,113 ",10.2 ,1.33 ,0.92 ,60390 ,"13,023 ",0.84 ,20.1 ,13.5 ,10月21日(木),曇,国土交通省,405 ,外濠環状線,60400 ,
405 ,外濠環状線,中央区日本橋本石町4-2-3,60420 ,"3,182 ",961 ,165 ,      －,      －,      －,      －,"6,661 ",620 ,"7,281 ",8.5 ,718 ,9.9 ,1.32 ,0.52 ,60410 ,"10,016 ",0.73 ,15.9 ,11.6 ,9月28日(火),曇,国土交通省,405 ,外濠環状線,60420 ,
405 ,外濠環状線,港区新橋1-4,60430 ,"14,735 ",664 ,172 ,      －,      －,      －,      －,"5,490 ",453 ,"5,943 ",7.6 ,627 ,10.6 ,1.30 ,0.39 ,60420 ,"8,410 ",0.71 ,13.5 ,8.7 ,9月28日(火),曇,国土交通省,405 ,外濠環状線,60430 ,
406 ,皇居前鍛冶橋線,千代田区丸の内1-11-6,60460 ,"7,619 ","1,552 ",692 ,      －,      －,      －,      －,"18,580 ","2,221 ","20,801 ",10.7 ,"2,462 ",11.8 ,1.41 ,1.21 ,60430 ,"26,425 ",0.79 ,19.2 ,13.3 ,9月28日(火),曇,国土交通省,406 ,皇居前鍛冶橋線,60460 ,
407 ,丸の内室町線,中央区日本橋本石町4-1,60480 ,"3,839 ",846 ,464 ,      －,      －,      －,      －,"6,177 ",506 ,"6,683 ",7.6 ,635 ,9.5 ,1.30 ,0.28 ,60450 ,"8,055 ",0.83 ,9.6 ,16.1 ,9月28日(火),曇,国土交通省,407 ,丸の内室町線,60480 ,
409 ,日比谷芝浦線,港区新橋1-1-1,60520 ,"13,385 ","1,649 ",928 ,      －,      －,      －,      －,"20,473 ","1,993 ","22,466 ",8.9 ,"2,204 ",9.8 ,1.41 ,0.74 ,60480 ,"28,846 ",0.78 ,17.1 ,16.9 ,11月30日(火),晴,国土交通省,409 ,日比谷芝浦線,60520 ,
409 ,日比谷芝浦線,港区芝浦3-4,60530 ,"3,130 ","3,318 ","1,549 ","11,555 ","5,224 ",363 ,"4,041 ","16,779 ","4,404 ","21,183 ",20.8 ,"1,976 ",9.3 ,1.38 ,1.56 ,60490 ,"21,987 ",0.96 ,11.8 ,17.2 ,11月17日(水),晴,東京都,409 ,日比谷芝浦線,60530 ,
412 ,霞ヶ関渋谷線,千代田区霞が関3-7-4,60540 ,"1,603 ",440 ,873 ,      －,      －,      －,      －,"18,108 ","1,595 ","19,703 ",8.1 ,"1,931 ",9.8 ,1.40 ,0.56 ,60500 ,"24,911 ",0.79 ,23.1 ,16.6 ,9月16日(木),晴,国土交通省,412 ,霞ヶ関渋谷線,60540 ,
412 ,霞ヶ関渋谷線,港区南青山7-1-5,60550 ,"2,750 ","1,024 ","1,310 ",      －,      －,      －,      －,"17,275 ","1,481 ","18,756 ",7.9 ,"1,801 ",9.6 ,1.38 ,0.50 ,60510 ,"22,347 ",0.84 ,14.0 ,11.9 ,11月30日(火),晴,国土交通省,412 ,霞ヶ関渋谷線,60550 ,
413 ,赤坂杉並線,港区北青山3-6-1,60580 ,"24,921 ","2,168 ",835 ,      －,      －,      －,      －,"21,149 ","1,319 ","22,468 ",5.9 ,"2,556 ",11.4 ,1.36 ,1.55 ,60530 ,"19,341 ",1.16 ,8.7 ,15.1 ,9月7日(火),曇,国土交通省,413 ,赤坂杉並線,60580 ,
413 ,赤坂杉並線,渋谷区大山町17-23,60590 ,"1,343 ","2,300 ","1,020 ",      －,      －,      －,      －,"10,326 ",820 ,"11,146 ",7.4 ,"1,094 ",9.8 ,1.33 ,0.92 ,60540 ,"11,914 ",0.94 ,16.2 ,17.4 ,11月30日(火),晴,国土交通省,413 ,赤坂杉並線,60590 ,
413 ,赤坂杉並線,杉並区和泉2-7-1,60600 ,481 ,"1,119 ",500 ,      －,      －,      －,      －,"9,946 ","1,393 ","11,339 ",12.3 ,"1,093 ",9.6 ,1.33 ,1.58 ,60550 ,"12,128 ",0.93 ,7.2 ,15.4 ,11月30日(火),晴,国土交通省,413 ,赤坂杉並線,60600 ,
413 ,赤坂杉並線,杉並区和泉3-3,60610 ,"1,518 ",882 ,595 ,"6,856 ","3,870 ",171 ,"1,452 ","10,726 ","1,623 ","12,349 ",13.1 ,"1,176 ",9.5 ,1.32 ,0.58 ,60560 ,"11,436 ",1.08 ,18.9 ,24.5 ,12月14日(火),曇,東京都,413 ,赤坂杉並線,60610 ,
414 ,四谷角筈線,渋谷区千駄ヶ谷1-15,60660 ,"2,500 ","1,279 ",260 ,      －,      －,      －,      －,"4,777 ",427 ,"5,204 ",8.2 ,518 ,10.0 ,1.30 ,0.69 ,60600 ,"6,795 ",0.77 ,23.1 ,10.6 ,11月30日(火),晴,国土交通省,414 ,四谷角筈線,60660 ,
414 ,四谷角筈線,渋谷区代々木2-9-5,60670 ,"31,870 ","1,122 ",342 ,      －,      －,      －,      －,"4,568 ",542 ,"5,110 ",10.6 ,528 ,10.3 ,1.29 ,0.77 ,60610 ,"6,080 ",0.84 ,11.2 ,9.1 ,11月30日(火),晴,国土交通省,414 ,四谷角筈線,60670 ,
