"市区町村コード","番号","都道府県名","市区町村名","営業所名称","営業の種類","業態","営業所所在地","営業所方書","営業所電話番号","許可番号","初回許可年月日","許可日","許可開始日","許可満了日","最終確認日","経度","緯度","分類"
"","","","","","セブンーイレブン　東中野１丁目店","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目３６番７号","","3361-3101","29中環生食第728号","平成22年10月15日","平成29年10月18日","平成29年11月1日","令和6年10月31日","","139.685681110643","35.704180640046","食品等営業許可_届出一覧"
"","","","","","セブンーイレブン　東中野１丁目店","【～Ｒ３．５】菓子製造業（その他・その他）","東中野一丁目３６番７号","","3361-3101","29中環生食第729号","平成22年10月15日","平成29年10月18日","平成29年11月1日","令和6年10月31日","","139.685681110643","35.704180640046","食品等営業許可_届出一覧"
"","","","","","セブンーイレブン　東中野１丁目店","⑩ コンビニエンスストア","東中野一丁目３６番７号","","3361-3101","3中健衛食第528号","","","","","","139.685681110643","35.704180640046","食品等営業許可_届出一覧"
"","","","","","かしわぎ","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目３６番７号","古島ビル１Ｆ","","29中環生食第158号","平成29年5月10日","平成29年5月10日","平成29年5月10日","令和6年5月31日","","139.685681110643","35.704180640046","食品等営業許可_届出一覧"
"","","","","","ポケット　カフェ","【～Ｒ３．５】飲食店営業（一般・スナック）","東中野一丁目３７番９号","アネックス大館１階ーＡ","03-3227-2999","28中環生食第342号","平成21年8月12日","平成28年9月12日","平成28年9月1日","令和5年8月31日","","139.686093802275","35.7045147075721","食品等営業許可_届出一覧"
"","","","","","Ｃｏｐａｎ","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目３７番９号","アネックス大館１Ｆ　１－Ａ号","03-6304-0047","2中健衛食第986号","令和2年12月23日","令和2年12月23日","令和2年12月23日","令和9年12月31日","","139.686093802275","35.7045147075721","食品等営業許可_届出一覧"
"","","","","","スターチャイルド東中野","? 集団給食施設","東中野一丁目３８番","","","4中健衛食第763号","","","","","","139.68656094895","35.7037749470111","食品等営業許可_届出一覧"
"","","","","","スターチャイルド東中野ナーサリー","? 集団給食施設","東中野一丁目３８番５号","","03-5338-0266","4中健衛食第839号","","","","","","139.686189617868","35.703787363616","食品等営業許可_届出一覧"
"","","","","","和ビストロ　ぶり中野","【～Ｒ３．５】飲食店営業（一般・大衆酒場）","東中野一丁目４５番４号","紅谷ビル１階","03-6338-6281","28中環生食第306号","平成28年8月1日","平成28年8月1日","平成28年8月1日","令和5年7月31日","","139.685745211516","35.7047799212453","食品等営業許可_届出一覧"
"","","","","","大成","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目４５番５号","","3360-5822","2中健衛食第746号","平成18年10月2日","令和2年10月22日","令和2年11月1日","令和9年10月31日","","139.685852119991","35.7049358864215","食品等営業許可_届出一覧"
"","","","","","ファストジム２４東中野","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","東中野一丁目４５番５号","日ノ出ビル１階","0120-208-025","3中健衛食第1189号","","","","","","139.685852119991","35.7049358864215","食品等営業許可_届出一覧"
"","","","","","パブクラブ　オレンジ","飲食店営業［一般飲食店］","東中野一丁目４５番９号","宮原ビル　地下１階","3371-6799","3中健衛食第1893号","令和4年3月1日","令和4年3月1日","令和4年3月1日","令和11年2月28日","","139.686270929412","35.7052507949265","食品等営業許可_届出一覧"
"","","","","","東中野　太樹苑","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目４５番９号","宮原ビル　２階","5338-1929","28中環生食第384号","平成21年9月9日","平成28年9月5日","平成28年10月1日","令和5年9月30日","","139.686270929412","35.7052507949265","食品等営業許可_届出一覧"
"","","","","","ｉｃｅ　ｓｈｉｓｈａ　ｌｏｕｎｇｅ","飲食店営業［一般飲食店］","東中野一丁目４５番９号","宮原ビル４階","","3中健衛食第1661号","令和3年12月2日","令和3年12月2日","令和3年12月2日","令和10年12月31日","","139.686270929412","35.7052507949265","食品等営業許可_届出一覧"
"","","","","","カブト","飲食店営業［一般飲食店］","東中野一丁目４５番１６号","","3363-1480","3中健衛食第751号","令和3年7月1日","令和3年7月1日","令和3年7月1日","令和9年6月30日","","139.686060037842","35.7048488754082","食品等営業許可_届出一覧"
"","","","","","Ｃａｆｅ　じみへん","【～Ｒ３．５】飲食店営業（バー・キャバレー）","東中野一丁目４６番１１号","ＨＩＫＯＴＡ　ＢＬＤ","","30中環生食第828号","平成24年1月19日","平成31年2月5日","平成31年2月1日","令和8年1月31日","","139.686639488933","35.7055495525885","食品等営業許可_届出一覧"
"","","","","","ＬＥ　ＰＥＴＩＴ　ＯＩＳＥＡＵ","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目４９番４号","都ビル　１階","03-5330-1217","2中健衛食第544号","平成25年8月23日","令和2年8月13日","令和2年9月1日","令和9年8月31日","","139.687205988604","35.7060851664426","食品等営業許可_届出一覧"
"","","","","","木瓜","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目４９番７号","","3371-3759","30中環生食第33号","昭和58年4月22日","平成30年4月13日","平成30年5月1日","令和6年4月30日","","139.686803111706","35.7061195857631","食品等営業許可_届出一覧"
"","","","","","スナック　あんぽんたん","【～Ｒ３．５】飲食店営業（一般・スナック）","東中野一丁目４９番７号","誠和ビル　１階","03-3366-4677","31中健衛食第835号","平成26年2月14日","令和2年2月25日","令和2年3月1日","令和9年2月28日","","139.686803111706","35.7061195857631","食品等営業許可_届出一覧"
"","","","","","楓家","【～Ｒ３．５】飲食店営業（一般・中華料理）","東中野一丁目５０番１号","町田園ビル　１階","3361-1520","31中健衛食第584号","平成17年11月1日","令和1年11月11日","令和1年11月1日","令和8年10月31日","","139.686308093704","35.7054746812475","食品等営業許可_届出一覧"
"","","","","","すど　パートⅡ","【～Ｒ３．５】飲食店営業（一般・スナック）","東中野一丁目５０番１号","東海ビル　地下１階","3363-7130","28中環生食第572号","平成21年10月20日","平成28年11月7日","平成28年11月1日","令和5年10月31日","","139.686308093704","35.7054746812475","食品等営業許可_届出一覧"
"","","","","","ＤＤＤ","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目５０番１号","東海ビル１Ｆ","","29中環生食第1278号","平成30年3月29日","平成30年3月29日","平成30年3月29日","令和7年3月31日","","139.686308093704","35.7054746812475","食品等営業許可_届出一覧"
"","","","","","ＤＤＤ","【～Ｒ３．５】菓子製造業（その他・その他）","東中野一丁目５０番１号","東海ビル１Ｆ","","31中健衛食第131号","令和1年5月23日","令和1年5月23日","令和1年5月23日","令和8年5月31日","","139.686308093704","35.7054746812475","食品等営業許可_届出一覧"
"","","","","","ＤＤＤ","【～Ｒ３．５】そうざい製造業","東中野一丁目５０番１号","東海ビル１Ｆ","","2中健衛食第186号","令和2年5月22日","令和2年5月22日","令和2年5月22日","令和9年5月31日","","139.686308093704","35.7054746812475","食品等営業許可_届出一覧"
"","","","","","北の富士","飲食店営業［一般飲食店］","東中野一丁目５０番４号","日進ビル　地下２階","3362-1261","4中健衛食第499号","令和4年11月15日","令和4年11月15日","令和4年11月15日","令和11年11月30日","","139.686494086692","35.705896501821","食品等営業許可_届出一覧"
"","","","","","アンカーミルズ","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目５０番４号","羽場ビル１Ｆ","03-6454-0977","31中健衛食第210号","令和1年7月1日","令和1年7月1日","令和1年7月1日","令和8年6月30日","","139.686494086692","35.705896501821","食品等営業許可_届出一覧"
"","","","","","ＷＩＮＥ　ＳＡＬＯＮ　Ｒ","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目５０番４号","日進ビルＢＦ","03-6825-1877","2中健衛食第51号","令和2年4月22日","令和2年4月22日","令和2年4月22日","令和9年4月30日","","139.686494086692","35.705896501821","食品等営業許可_届出一覧"
"","","","","","大盛軒","【～Ｒ３．５】飲食店営業（一般・中華料理）","東中野一丁目５１番１号","","3371-5743","29中環生食第501号","昭和56年8月22日","平成29年8月8日","平成29年9月1日","令和6年8月31日","","139.686255181005","35.7060067551327","食品等営業許可_届出一覧"
"","","","","","ファミリーマート東中野駅東口店","【～Ｒ３．５】菓子製造業（その他・その他）","東中野一丁目５１番１号","東中野駅東口ビル　１階","03-5348-7901","29中環生食第93号","平成29年5月11日","平成29年5月11日","平成29年5月11日","令和6年5月31日","","139.686255181005","35.7060067551327","食品等営業許可_届出一覧"
"","","","","","ファミリーマート東中野駅東口店","【～Ｒ３．５】飲食店営業（一般・ファーストフード）","東中野一丁目５１番１号","東中野駅東口ビル　１階","03-5348-7901","29中環生食第463号","平成22年7月22日","平成29年7月24日","平成29年8月1日","令和6年7月31日","","139.686255181005","35.7060067551327","食品等営業許可_届出一覧"
"","","","","","ファミリーマート東中野駅東口店","⑩ コンビニエンスストア","東中野一丁目５１番１号","東中野駅東口ビル　１階","03-5348-7901","3中健衛食第447号","","","","","","139.686255181005","35.7060067551327","食品等営業許可_届出一覧"
