施設の名称,施設所在地,施設所在地ビル名,営業者氏名,営業者住所,営業の種類,施設電話番号,届出日,営業者電話番号,代表者氏名
西通りプリン（花小金井）,東京都小平市花小金井1-10-5,花小金井駅,株式会社西原商会,鹿児島県鹿児島市与次郎１丁目１０番２１号,その他の食料・飲料販売業(電子申請（未区分）),,2024/2/28,,
Honeybee melon,東京都小平市花小金井1-10-5,花小金井駅,,,その他の食料・飲料販売業(電子申請（未区分）),,2024/2/7,,
株式会社西友　花小金井店,東京都小平市花小金井1-2-23,,株式会社西友,東京都武蔵野市吉祥寺本町１丁目１２番１０号,百貨店、総合スーパー,042-462-2121,2021/9/14,,
ウェルパーク花小金井駅前店,東京都小平市花小金井1-8-3,いなげや２Ｆ,株式会社ウェルパーク,東京都立川市栄町六丁目1番地の1,その他の食料・飲料販売業(店舗),042-454-2818,2021/8/2,,
富貴包子楼,東京都小平市花小金井1丁目10-5,花小金井駅構内,株式会社小樽飯櫃,北海道小樽市信香町1番4号,その他の食料・飲料販売業(包装),,2024/7/5,,
ビアードパパ　花小金井駅店,東京都小平市花小金井１丁目１０番５号,西武花小金井駅構内,ディライトワークス株式会社,東京都港区六本木６丁目１０番１号,その他の食料・飲料販売業(店舗),042-463-3088,2024/5/24,03-6823-8970,庄司　顕仁
ビアードパパ　花小金井店,東京都小平市花小金井１丁目１０番５号,西武「花小金井」駅構内,株式会社ＤＡＹ ＴＯ　ＬＩＦＥ,大阪市北区西天満三丁目１３番２０号,その他の食料・飲料販売業(店舗),042-463-3088,2022/4/7,06-6361-7000,杉内　健吉
西武鉄道花小金井駅改札内イベントスペース,東京都小平市花小金井１丁目１０番５号,,株式会社アドトップ,東京都武蔵野市吉祥寺本町２丁目４番１４号,その他の食料・飲料販売業(電子申請（未区分）),0424614267,2021/12/2,,
「魚力海鮮寿司　花小金井店」,東京都小平市花小金井１丁目１０番５号,,株式会社魚力,東京都立川市曙町２丁目８番３号,その他の食料・飲料販売業(店舗),042-460-0160,2021/10/21,042-455-5600,?川　隆英
ブレッズ＆カフェ神戸屋花小金井店,東京都小平市花小金井１丁目１０番５号,,,,その他の食料・飲料販売業(店舗),0424687566,2021/11/5,,
トモニー花小金井駅店,東京都小平市花小金井１丁目１０番５号,,西武鉄道株式会社,東京都豊島区南池袋一丁目16番15号,コンビニエンスストア,042-451-8026,2021/8/4,04-2926-2473,小川　周一郎
有限会社太郎,東京都小平市花小金井１丁目１０番５号,花小金井催事場,有限会社太郎,東京都江東区深川２丁目１番２０号,弁当販売業(自動車以外),,2022/7/4,,
むらのや,東京都小平市花小金井１丁目１０番９号,,,,その他の食料・飲料販売業(店舗),042-463-8666,2022/5/2,,
有限会社アベイユ,東京都小平市花小金井１丁目１３番１０号,,有限会社アベイユ,東京都小平市花小金井１丁目１３番１０号,乳類販売業(ショーケース売り),0424-63-7997,2021/9/21,042-463-7997,有我　ヨシ子
ミッキーハウス ほいく園,東京都小平市花小金井１丁目１３番１号,大澤ビル２Ｆ,,,集団給食施設(児童福祉施設Ⅰ),042-462-8102,2021/12/8,,
８７５,東京都小平市花小金井１丁目１番１０号,K&K花小金井ビル３F,,,魚介類販売業（包装済みの魚介類のみの販売）(一般),042-452-9674,2021/6/1,,
薬　マツモトキヨシ　花小金井北口店,東京都小平市花小金井１丁目１番１１号,エメラルドビル１０１,株式会社マツモトキヨシ,千葉県松戸市新松戸東９番地１,乳類販売業(ショーケース売り),042-462-2455,2001/6/1,047-344-5860,松本　貴志
ドトールコーヒーショップ　花小金井店,東京都小平市花小金井１丁目１番１３号,,株式会社　サムデイ,東京都世田谷区上北沢四丁目３２番７－２１２号,その他の食料・飲料販売業(店舗),042-451-6550,2021/6/4,03-3302-2622,熊田　恵一
自家焙煎珈琲屋　つの笛,東京都小平市花小金井１丁目２番２０号,,有限会社つのぶえ,東京都小平市花小金井１丁目２番２０号,コーヒー製造・加工業（飲料の製造を除く。）,042-451-6343,2023/9/13,042-451-6343,金城　利通
杏’ｓ　ｃａｆｅ,東京都小平市花小金井１丁目３番１４号,CASA　T102,,,調味料製造・加工業,042-450-3141,2023/10/10,,
有限会社駿河屋,東京都小平市花小金井１丁目４番１１号,,有限会社駿河屋,東京都小平市花小金井１丁目４番１１号,その他の食料・飲料販売業(電子申請（未区分）),042-459-3218,2021/10/22,,
いなげや花小金井駅前店,東京都小平市花小金井１丁目８番３号,,株式会社いなげや,東京都立川市栄町６丁目１番地の１,百貨店、総合スーパー,042-460-0081,2021/11/19,042-537-5126,本杉　吉員
べべる,東京都小平市花小金井１丁目８番３号　,いなげや花小金井駅前店,,,その他の食料・飲料販売業(店舗),,2024/2/27,,
庄や　花小金井北口店,東京都小平市花小金井１丁目８番５号,清川第三ビル１階,,,野菜果物販売業(自動車以外),042-497-5909,2023/7/6,,
庄や　花小金井北口店,東京都小平市花小金井１丁目８番５号,清川第三ビル地下１階,,,その他の食料・飲料販売業(店舗),042-497-5909,2022/7/1,,
すき家　花小金井駅北口店,東京都小平市花小金井１丁目９番１８号,花小金井第一ﾋﾞﾙ,株式会社すき家,東京都港区港南二丁目18番1号,その他の食料・飲料販売業(店舗),,2021/11/26,,
居楽屋　白木屋,東京都小平市花小金井１丁目９番１８号,花小金井第一ビル２階,株式会社モンテローザフーズ,東京都新宿区歌舞伎町一丁目２１番１号,その他の食料・飲料販売業(包装),042-462-8388,2022/2/25,0422-36-8888,大神　輝博
ファミリーマート　小平花小金井二丁目店,東京都小平市花小金井２丁目１９番１１号,,合資会社　フランチャイズビジネスパートナーズ,東京都立川市西砂町１丁目２番地の５３,コンビニエンスストア,042-460-3055,2021/9/2,042-520-8207,加藤　桂
生活協同組合コープみらい　コープ花小金井店,東京都小平市花小金井3-22-2,,生活協同組合コープみらい,埼玉県さいたま市南区根岸１丁目５番５号,百貨店、総合スーパー,042-479-4310,2021/11/17,,
西東京・小平住宅公園,東京都小平市花小金井3-40-1,,株式会社Jクレスト,東京都千代田区神田神保町1-34,その他の食料・飲料販売業(電子申請（未区分）),,2022/10/24,,
タイヘイ株式会社　西武営業所,東京都小平市花小金井3-42-10,,タイヘイ株式会社,千葉県匝瑳市八日市場イ2614,その他の食料・飲料販売業(店舗),042-474-5373,2021/11/10,,
Gakkenほいくえん花小金井,東京都小平市花小金井3丁目1-21-1,,株式会社学研ココファン・ナーサリー,東京都品川区西五反田2-11-8,集団給食施設(児童福祉施設Ⅱ),042-451-7020,2021/9/17,,
東都生活協同組合 小平センター,東京都小平市花小金井３丁目１３番１４号,,東都生活協同組合,東京都世田谷区船橋６丁目１９番１２号,魚介類販売業（包装済みの魚介類のみの販売）(一般),0424-60-6861,2001/6/1,03-5374-4750,風間　与司治
東都生活協同組合 小平センター,東京都小平市花小金井３丁目１３番１４号,,東都生活協同組合,東京都世田谷区船橋６丁目１９番１２号,食肉販売業（包装済みの食肉のみの販売）(一般),0424-60-6861,2001/6/1,03-5374-4750,風間　与司治
東都生活協同組合 小平センター,東京都小平市花小金井３丁目１３番１４号,,東都生活協同組合,東京都世田谷区船橋６丁目１９番１２号,乳類販売業(ショーケース売り),0424-60-6861,2001/6/1,03-5374-4750,風間　与司治
東都生活協同組合 小平センター,東京都小平市花小金井３丁目１３番１４号,,東都生活協同組合,東京都世田谷区船橋６丁目１９番１２号,百貨店、総合スーパー,042-460-6861,2022/6/3,03-5374-4750,風間　与司治
すき家　新青梅街道花小金井店,東京都小平市花小金井３丁目２１番１４号,,株式会社すき家,東京都港区港南二丁目18番1号,その他の食料・飲料販売業(店舗),,2021/11/26,,
ベジフルフード株式会社　城西センター,東京都小平市花小金井３丁目２２番１号,,ベジフルフード株式会社,東京都新宿区北新宿四丁目１４番１０号,野菜果物販売業(自動車以外),042-471-0443,2021/10/20,03-3368-6300,笹崎　義司
社会福祉法人　七日会　特別養護老人ホーム　さくら野杜,東京都小平市花小金井３丁目２５番２１号,,社会福祉法人　七日会,東京都青梅市今井２丁目１０７９番地,集団給食施設(社会福祉施設Ⅰ),042-479-1216,2021/6/16,0428-32-7699,森谷　修三
セブン-イレブン小平東京街道店,東京都小平市花小金井３丁目７番５号,,,,魚介類販売業（包装済みの魚介類のみの販売）(一般),042-467-0766,2021/6/1,,
セブン-イレブン小平東京街道店,東京都小平市花小金井３丁目７番５号,,,,食肉販売業（包装済みの食肉のみの販売）(一般),042-467-0766,2021/6/1,,
セブン-イレブン小平東京街道店,東京都小平市花小金井３丁目７番５号,,,,乳類販売業(ショーケース売り),042-467-0766,2021/6/1,,
セブン-イレブン小平花小金井4丁目店,東京都小平市花小金井4-32-1,,有限会社寿屋酒店,東京都西東京市芝久保町2-9-3,コンビニエンスストア,0424678022,2023/2/7,,
ダイソー　花小金井店,東京都小平市花小金井４－４－１２,,株式会社大創産業,広島県東広島市西条吉行東一丁目４番１４号,その他の食料・飲料販売業(店舗),,2021/10/26,,
ファミリーマート花小金井四丁目店,東京都小平市花小金井４丁目１３番９号,,,,コンビニエンスストア,042-451-7080,2021/11/18,,
ツクイ小平花小金井,東京都小平市花小金井４丁目１９番３号,,株式会社ツクイ,神奈川県横浜市港南区上大岡西一丁目６番１号,集団給食施設(社会福祉施設Ⅱ),042-460-0077,2021/8/17,045-842-4115,高畠　毅
小平花小金井営業所,東京都小平市花小金井4丁目19番3号,,株式会社ツクイ,神奈川県横浜市港南区上大岡西1丁目6番1号,集団給食施設(社会福祉施設Ⅱ),042-460-0077,2021/9/9,,
株式会社タジマヤ　東久留米支店,東京都小平市花小金井４丁目５番２７号,,株式会社タジマヤ,東京都台東区根岸５丁目７番４号,乳類販売業(ショーケース売り),0424-76-0011,2001/6/1,03-3876-3030,田島　康郎
ウェルパーク小平花小金井店,東京都小平市花小金井5-35-26,,株式会社ウェルパーク,東京都立川市栄町六丁目1番地の1,その他の食料・飲料販売業(店舗),042-454-2835,2021/8/2,,
セブンイレブン小平武道館前,東京都小平市花小金井５丁目１番２０号,,,,コンビニエンスストア,042-469-6401,2021/6/16,,
なごやかレジデンス花小金井,東京都小平市花小金井５丁目３５番４号,,,,集団給食施設(社会福祉施設Ⅰ),0424395782,2021/11/16,,
はなこがねい保育園,東京都小平市花小金井５丁目４１番１１号,,社会福祉法人ゆたか会,東京都小平市学園東町５７５番地３５,集団給食施設(児童福祉施設Ⅱ),042-452-7736,2024/3/29,042-313-2415,古川　吉樹
