"施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"あきよし皮フ科クリニック","東京都港区白金台四丁目2番11号","白金台クレスト5階","03-5422-8880","2013/4/30","皮膚科、美容皮膚科","35.639155","139.727982"
"東京白金台クリニック","東京都港区白金台四丁目3番19号","エルスタンザ白金地下1階","03-6456-2205","2020/12/25","内科、皮膚科","35.639029","139.727802"
"白金いびき・内科クリニック","東京都港区白金台四丁目3番19号","エルスタンザ白金 地下1階","03-3440-0800","2016/5/2","内科、呼吸器内科、循環器内科、アレルギー科、小児科","35.639029","139.727802"
"白金台メディカルクリニック","東京都港区白金台四丁目7番4号","白金台STビル8階","03-5488-6810","2014/1/24","心療内科、精神科","35.638095","139.726146"
"医療法人社団白慈会　白金坂の上診療所","東京都港区白金台四丁目7番8号","ストーリア白金2階","03-3447-3232","2006/8/1","内科、皮膚科、形成外科、アレルギー科、放射線科、小児科","35.637949","139.725647"
"医療法人社団ＦＡＭ　ｂｉｏｔｏｐｅ　ｃｌｉｎｉｃ　白金","東京都港区白金台四丁目9番10号","グリーンリーブス2階","03-5422-9901","2022/8/20","形成外科、美容外科、皮膚科、美容皮膚科、婦人科、内科、心療内科、整形外科","35.637364","139.724076"
"東京ＣＡクリニック","東京都港区白金台四丁目9番19号","HAPPO-EN URBAN SQUARE 4階","03-6407-9147","2021/10/7","内科、外科、腫瘍内科","35.637984","139.723633"
"医療法人社団春央会　大澤プライベートクリニック","東京都港区白金台四丁目11番10号","1階","03-6432-5680","2016/2/1","内科、外科","35.638360","139.724749"
"鈴木医院","東京都港区白金台四丁目12番11号",,"03-3441-6668","1998/9/24","内科、小児科","35.638114","139.724815"
"ＫＵＭＩＫＯ　ＣＬＩＮＩＣ","東京都港区白金台四丁目19番13号","白金台TFビル2F・3F","03-6206-6777","2023/6/5","美容皮膚科","35.638684","139.723233"
"ＮＡＧ整形外科","東京都港区白金台五丁目6番9号","ウィンドベース白金5階","03-6432-5880","2023/5/4","整形外科","35.640120","139.722295"
"どんぐり眼科クリニック","東京都港区白金台五丁目13番14号","1階","03-5422-8836","2018/1/1","眼科","35.637763","139.722634"
"医療法人社団キュアライフ東京ホームドクターズクリニック","東京都港区白金台五丁目13番16号","寺尾ビル1階","03-5422-6818","2017/10/1","内科、外科、胸部外科","35.637588","139.722719"
"ルポール　ビューティークリニック","東京都港区白金台五丁目13番31号","白金台MHテラス102号室",,"2023/11/21","皮膚科","35.637925","139.722218"
"白金台診療所","東京都港区白金台五丁目18番6号","2階","03-3473-4741","1998/8/26","内科、小児科、皮膚科、リハビリテーション科","35.636997","139.723372"
"白金医療美容クリニック","東京都港区白金台五丁目18番18号","Barbizon18ビル5階","03-5422-7185","2023/7/1","美容皮膚科","35.637305","139.723608"
"港区立特別養護老人ホーム　「白金の森」","東京都港区白金台五丁目20番5号",,"03-3449-9611","1988/9/1","内科、精神科、歯科","35.637122","139.722231"
"ミル訪問クリニック目黒","東京都港区白金台五丁目22番11号","ソフトタウン白金801号室","03-5422-9741","2023/3/24","内科、小児科、精神科","35.634992","139.717666"
"日本軽金属診療室","東京都港区新橋一丁目1番13号","アーバンネット内幸町ビル10階","03-6810-7187","2019/11/26","内科","35.669051","139.756163"
"医療法人笑顔会Ｄｒ．ＡＧＡクリニック東京新橋院","東京都港区新橋一丁目4番4号",,"03-5962-8911","2020/10/16","皮膚科","35.667899","139.759221"
"クリニックフォア新橋","東京都港区新橋一丁目4番5号","ヒューリックG10ビル9階、10階","03-4579-9029","2020/10/1","内科、皮膚科、アレルギー科、糖尿病内科、循環器内科、内分泌内科、泌尿器科、美容皮膚科、産婦人科、眼科","35.667902","139.759065"
"ルナレディースクリニック新橋銀座口院","東京都港区新橋一丁目5番5号","グランベル銀座ビル2　10階","050-1753-0802","2023/7/1","婦人科、内科","35.667631","139.760077"
"ダリア銀座スキンクリニック","東京都港区新橋一丁目5番5号","グランベル銀座ビル2　4階","03-6228-5427","2023/3/1","美容皮膚科、皮膚科、形成外科","35.667631","139.760077"
"銀座グランフォレクリニック","東京都港区新橋一丁目7番11号","近鉄銀座中央通りビル2　301号","03-5226-0260","2022/8/10","形成外科、美容外科、皮膚科、美容皮膚科","35.666897","139.760995"
"メンズケアクリニック新橋院","東京都港区新橋一丁目8番4号","丸忠ビル7F‐B","03-5962-8738","2020/7/2","美容皮膚科、泌尿器科","35.666978","139.760314"
"銀座総合美容クリニック","東京都港区新橋一丁目9番5号","KDX新橋駅前ビル4・5・6階","03-6280-6970","2018/12/7","皮膚科、形成外科、美容外科、美容皮膚科","35.667175","139.760057"
"東京ＡＭＨクリニック銀座","東京都港区新橋一丁目9番5号","KDX新橋駅前ビル2階","03-3573-4124","2018/12/6","産婦人科、泌尿器科（不妊治療）、生殖医療外科、女性内科","35.667175","139.760057"
"患者目線のクリニック　銀座新橋","東京都港区新橋一丁目9番5号","KDX新橋駅前ビル8階","03-6264-6303","2022/11/1","内科、整形外科","35.667175","139.760057"
"井上胃腸科内科医院","東京都港区新橋一丁目11番3号","岩井ビル3階","03-3573-1690","2008/9/1","内科","35.667613","139.759428"
"新橋消化器内科・泌尿器科クリニック","東京都港区新橋一丁目11番5号","コルティーレ銀座口BLDG7階、8階","03-6263-9162","2023/8/29","泌尿器科、消化器内科（胃腸内科）、内科、皮膚科、美容皮膚科","35.667451","139.759358"
"湘南美容クリニック新橋銀座口院","東京都港区新橋一丁目12番9号","新橋プレイス9階","050-5576-1150","2018/8/15","美容外科、美容皮膚科","35.667649","139.758848"
"シーエスケー・クリニック","東京都港区新橋一丁目13番12号",,"03-5157-5121","2010/12/8","内科","35.667989","139.757837"
"医療法人社団南桜会松崎内科クリニック","東京都港区新橋一丁目15番5号","ペルサ115、9階","03-3591-7006","2016/8/1","内科、皮膚科、血液内科、循環器内科","35.668016","139.757501"
"新橋駅前内科クリニック","東京都港区新橋一丁目15番7号","新橋NFビル501","03-3593-7660","2010/3/1","内科、循環器内科","35.668089","139.757282"
"新橋ＤＡＹクリニック","東京都港区新橋一丁目15番7号","新橋NFビル6F","050-5527-1126","2022/3/1","内科、外科、麻酔科","35.668089","139.757282"
"医療法人社団ワンデー新橋美容クリニック","東京都港区新橋一丁目15番地7号","新橋NFビル9階","03-6268-8012","2011/8/4","皮膚科、形成外科","35.668089","139.757282"
"医療法人社団イースト会　新橋ＥＤイースト駅前クリニック","東京都港区新橋一丁目15番7号","新橋NFビル地下1階","03-6206-1811","2011/10/1","皮膚科、泌尿器科","35.668089","139.757282"
"アルト新橋胃腸肛門内視鏡クリニック","東京都港区新橋一丁目15番7号","新橋NFビル4階","03-5157-5841","2023/9/1","内視鏡内科、胃腸内科、消化器内科、肛門内科、内科","35.668089","139.757282"
"医療法人社団　爽醒会　東京疲労・睡眠クリニック","東京都港区新橋一丁目15番7号","新橋NFビル3階","03-3504-0555","2023/11/1","内科、リハビリテーション科、心療内科、精神科","35.668089","139.757282"
"新橋眼科","東京都港区新橋一丁目16番4号","りそな新橋ビル8階","03-3591-7024","2016/6/1","眼科","35.668222","139.756942"
"ＤＲＩＰ　ＢＥＡＵＴＹ　ＣＬＩＮＩＣ．　ＳＨＩＮＢＡＳＨＩ","東京都港区新橋一丁目16番8号","第3西欧ビル7階","03-6268-8202","2019/11/22","内科、美容皮膚科","35.668208","139.756639"
"医療法人社団若葉の会　新橋メディカルアートクリニック","東京都港区新橋一丁目16番8号","第3西欧ビル9階及び10階","03-6268-8990","2018/4/3","皮膚科、形成外科、泌尿器科","35.668208","139.756639"
"医療法人一門会新橋日比谷口クリニック","東京都港区新橋一丁目17番2号","ダイワロイネットホテル新橋B1","03-5251-9300","2019/5/1","整形外科、形成外科、皮膚科、アレルギー科","35.668479","139.757140"
"東京予防クリニック","東京都港区新橋一丁目17番2号","ダイワロイネットホテル新橋地下1階","03-3507-6066","2022/2/1","内科、脳神経内科","35.668479","139.757140"
"医療法人社団神州　日比谷公園健診クリニック","東京都港区新橋一丁目18番1号","航空会館4階","03-3595-0781","2017/6/1","内科、消化器内科、呼吸器内科、婦人科","35.668908","139.755345"
"ＹＧメディカルクリニック新橋院","東京都港区新橋一丁目18番11号","一松ビル5階","03-6550-9995","2021/4/20","美容皮膚科","35.668352","139.756393"
"岡野内科診療所","東京都港区新橋一丁目18番14号","三洋堂本館ビル8階","03-3502-8060","1997/5/26","内科、胃腸科、肛門科","35.668414","139.756124"
"日比谷内幸町クリニック","東京都港区新橋一丁目18番14号","新橋MMビル3階","03-5510-9050","2005/5/16","内科","35.668438","139.756004"
"新橋メンタルクリニック","東京都港区新橋一丁目18番14号","新橋MMビル5階","03-3507-5560","2023/4/1","心療内科、精神科","35.668438","139.756004"
"森野クリニック","東京都港区新橋一丁目18番19号","キムラヤ大塚ビル7階","03-3591-2200","2019/11/1","脳神経内科、内科、外科","35.668612","139.755365"
"医療法人社団いわきたえこレディースクリニック","東京都港区新橋一丁目18番19号","キムラヤオオツカビル3階","03-3593-6321","2017/4/1","産婦人科","35.668612","139.755365"
"医療法人社団永遠幸　新橋夢クリニック","東京都港区新橋二丁目5番1号","EXCEL新橋3～7階","03-3593-2121","2007/10/1","婦人科、産科、泌尿器科","35.667954","139.756007"
"Ｄｒ．Ｂｌａｃｋ　ＡＧＡ　クリニック","東京都港区新橋二丁目6番13号","ハイマートビル2階","03-6206-6265","2022/9/1","美容皮膚科","35.667687","139.756579"
"エイトスキンクリニック","東京都港区新橋二丁目6番13号","ハイマートビル3階","03-6811-1456","2022/6/3","美容皮膚科","35.667687","139.756579"
"にしだクリニック","東京都港区新橋二丁目9番7号","K-16ビル10階","03-3591-0095","2007/11/29","内科、小児科、皮膚科、眼科、外科、整形外科、形成外科、婦人科","35.666924","139.756992"
"めぐみ糖尿病内科クリニック","東京都港区新橋二丁目9番16号","新橋萬楽庵ビル2階","03-6550-8508","2019/12/1","糖尿病内科、内科","35.666897","139.756058"
"にじいろクリニック新橋","東京都港区新橋二丁目10番3号","ブラザービル4階","03-3501-0022","2021/6/28","感染症内科、内科、皮膚科","35.667279","139.755888"
