"ごみの品目","インデックス","種別","説明","GIS搭載用住所","経度","緯度","分類"
"磁気マットレス
※布団用マットレス","じきまっとれす
※ふとんようまっとれす","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"磁石","じしゃく","陶器・ガラス・金属ごみ","マット状の磁石も対象です。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"辞書・辞典","じしょ・じてん","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"自転車","じてんしゃ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"自転車のタイヤ・チューブ","じてんしゃのたいや・ちゅーぶ","燃やすごみ","30cm以下に切って出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"自動車","じどうしゃ","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"自動車のカバー","じどうしゃのかばー","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"自動車のシート
※自動車部品","じどうしゃのしーと
※じどうしゃぶひん","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"自動車のタイヤ","じどうしゃのたいや","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"自動車用スキーキャリア
※車両装備品","じどうしゃようすきーきゃりあ
※しゃりょうそうびひん","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"自動車用バンパー
※自動車部品","じどうしゃようばんぱー
※じどうしゃぶひん","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"自動車用ホイール
※自動車部品","じどうしゃようほいーる
※じどうしゃぶひん","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"自動車用ルーフボックス
※車両装備品","じどうしゃようるーふぼっくす
※しゃりょうそうびひん","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ジャケット","じゃけっと","古着・古布（集団回収）","多くの地域で集団回収をしています。集団回収に出せない場合や汚れている場合は燃やすごみへ。
※「リサイクル展示室」でも回収しています。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"じゅうたん
※敷物","じゅうたん
※しきもの","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"充電器","じゅうでんき","陶器・ガラス・金属ごみ","販売店等のリサイクルルート（モバイル・リサイクル・ネットワーク）もご活用ください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"18リットル缶","じゅうはちりっとるかん","陶器・ガラス・金属ごみ","中身が入っている場合は収集できません。販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"潤滑油（ブレーキ・エンジンオイル等）","じゅんかつゆ（ぶれーき・えんじんおいるとう）","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ジューサー","じゅーさー","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ジョイントマット","じょいんとまっと","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"浄水器","じょうすいき","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"浄水器カートリッジ","じょうすいきかーとりっじ","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"じょうろ（金属製）","じょうろ（きんぞくせい）","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"じょうろ（プラスチック製）","じょうろ（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。
一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"除湿機","じょしつき","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"除湿剤","じょしつざい","燃やすごみ","プラスチック製の容器は資源プラスチックにお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"除草剤","じょそうざい","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"人工芝","じんこうしば","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ジーンズ","じーんず","古着・古布（集団回収）","多くの地域で集団回収をしています。集団回収に出せない場合や汚れている場合は燃やすごみへ。
※「リサイクル展示室」でも回収しています。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"水槽（ガラス製）","すいそう（がらすせい）","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"水槽（プラスチック製）","すいそう（ぷらすちっくせい）","粗大ごみ","一辺が30㎝以下で、
プラスチックのみでできた物は資源プラスチックへ、
プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"水筒（金属製）","すいとう（きんぞくせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"水筒（プラスチック製）","すいとう（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"炊飯器","すいはんき","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"スカーフ","すかーふ","古着・古布（集団回収）","多くの地域で集団回収をしています。集団回収に出せない場合や汚れている場合は燃やすごみへ。
※「リサイクル展示室」でも回収しています。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"姿見","すがたみ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"スキャナー","すきゃなー","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"スキー板","すきーいた","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"スキーウェア","すきーうぇあ","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"スキー靴","すきーぐつ","粗大ごみ","一辺が30cm以下の場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"スクーター","すくーたー","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"スケート靴","すけーとぐつ","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"スケートボード","すけーとぼーど","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"すずり","すずり","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"すだれ","すだれ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ストッキング","すとっきんぐ","古着・古布（集団回収）","多くの地域で集団回収をしています。集団回収に出せない場合や汚れている場合は燃やすごみへ。
※「リサイクル展示室」でも回収しています。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
