産業分類階層,大分類,中分類,小分類,分類名,東京都／総数（民営＋国、地方公共団体）／事業所数（事業所）,東京都／総数（民営＋国、地方公共団体）／従業者数（人）,区部／経営組織／民営／事業所数（事業所）,区部／経営組織／民営／従業者数（人）,千代田区／経営組織／民営／事業所数（事業所）,千代田区／経営組織／民営／従業者数（人）,中央区／経営組織／民営／事業所数（事業所）,中央区／経営組織／民営／従業者数（人）,港区／経営組織／民営／事業所数（事業所）,港区／経営組織／民営／従業者数（人）,新宿区／経営組織／民営／事業所数（事業所）,新宿区／経営組織／民営／従業者数（人）,文京区／経営組織／民営／事業所数（事業所）,文京区／経営組織／民営／従業者数（人）,台東区／経営組織／民営／事業所数（事業所）,台東区／経営組織／民営／従業者数（人）,墨田区／経営組織／民営／事業所数（事業所）,墨田区／経営組織／民営／従業者数（人）,江東区／経営組織／民営／事業所数（事業所）,江東区／経営組織／民営／従業者数（人）,品川区／経営組織／民営／事業所数（事業所）,品川区／経営組織／民営／従業者数（人）,目黒区／経営組織／民営／事業所数（事業所）,目黒区／経営組織／民営／従業者数（人）,大田区／経営組織／民営／事業所数（事業所）,大田区／経営組織／民営／従業者数（人）,世田谷区／経営組織／民営／事業所数（事業所）,世田谷区／経営組織／民営／従業者数（人）,渋谷区／経営組織／民営／事業所数（事業所）,渋谷区／経営組織／民営／従業者数（人）,中野区／経営組織／民営／事業所数（事業所）,中野区／経営組織／民営／従業者数（人）,杉並区／経営組織／民営／事業所数（事業所）,杉並区／経営組織／民営／従業者数（人）,豊島区／経営組織／民営／事業所数（事業所）,豊島区／経営組織／民営／従業者数（人）,北区／経営組織／民営／事業所数（事業所）,北区／経営組織／民営／従業者数（人）,荒川区／経営組織／民営／事業所数（事業所）,荒川区／経営組織／民営／従業者数（人）,板橋区／経営組織／民営／事業所数（事業所）,板橋区／経営組織／民営／従業者数（人）,練馬区／経営組織／民営／事業所数（事業所）,練馬区／経営組織／民営／従業者数（人）,足立区／経営組織／民営／事業所数（事業所）,足立区／経営組織／民営／従業者数（人）,葛飾区／経営組織／民営／事業所数（事業所）,葛飾区／経営組織／民営／従業者数（人）,江戸川区／経営組織／民営／事業所数（事業所）,江戸川区／経営組織／民営／従業者数（人）,境界未定地域／経営組織／民営／事業所数（事業所）,境界未定地域／経営組織／民営／従業者数（人）,市部／経営組織／民営／事業所数（事業所）,市部／経営組織／民営／従業者数（人）,八王子市／経営組織／民営／事業所数（事業所）,八王子市／経営組織／民営／従業者数（人）,立川市／経営組織／民営／事業所数（事業所）,立川市／経営組織／民営／従業者数（人）,武蔵野市／経営組織／民営／事業所数（事業所）,武蔵野市／経営組織／民営／従業者数（人）,三鷹市／経営組織／民営／事業所数（事業所）,三鷹市／経営組織／民営／従業者数（人）,青梅市／経営組織／民営／事業所数（事業所）,青梅市／経営組織／民営／従業者数（人）,府中市／経営組織／民営／事業所数（事業所）,府中市／経営組織／民営／従業者数（人）,昭島市／経営組織／民営／事業所数（事業所）,昭島市／経営組織／民営／従業者数（人）,調布市／経営組織／民営／事業所数（事業所）,調布市／経営組織／民営／従業者数（人）,町田市／経営組織／民営／事業所数（事業所）,町田市／経営組織／民営／従業者数（人）,小金井市／経営組織／民営／事業所数（事業所）,小金井市／経営組織／民営／従業者数（人）,小平市／経営組織／民営／事業所数（事業所）,小平市／経営組織／民営／従業者数（人）,日野市／経営組織／民営／事業所数（事業所）,日野市／経営組織／民営／従業者数（人）,東村山市／経営組織／民営／事業所数（事業所）,東村山市／経営組織／民営／従業者数（人）,国分寺市／経営組織／民営／事業所数（事業所）,国分寺市／経営組織／民営／従業者数（人）,国立市／経営組織／民営／事業所数（事業所）,国立市／経営組織／民営／従業者数（人）,福生市／経営組織／民営／事業所数（事業所）,福生市／経営組織／民営／従業者数（人）,狛江市／経営組織／民営／事業所数（事業所）,狛江市／経営組織／民営／従業者数（人）,東大和市／経営組織／民営／事業所数（事業所）,東大和市／経営組織／民営／従業者数（人）,清瀬市／経営組織／民営／事業所数（事業所）,清瀬市／経営組織／民営／従業者数（人）,東久留米市／経営組織／民営／事業所数（事業所）,東久留米市／経営組織／民営／従業者数（人）,武蔵村山市／経営組織／民営／事業所数（事業所）,武蔵村山市／経営組織／民営／従業者数（人）,多摩市／経営組織／民営／事業所数（事業所）,多摩市／経営組織／民営／従業者数（人）,稲城市／経営組織／民営／事業所数（事業所）,稲城市／経営組織／民営／従業者数（人）,羽村市／経営組織／民営／事業所数（事業所）,羽村市／経営組織／民営／従業者数（人）,あきる野市／経営組織／民営／事業所数（事業所）,あきる野市／経営組織／民営／従業者数（人）,西東京市／経営組織／民営／事業所数（事業所）,西東京市／経営組織／民営／従業者数（人）,町村部／経営組織／民営／事業所数（事業所）,町村部／経営組織／民営／従業者数（人）,西多摩郡／経営組織／民営／事業所数（事業所）,西多摩郡／経営組織／民営／従業者数（人）,瑞穂町／経営組織／民営／事業所数（事業所）,瑞穂町／経営組織／民営／従業者数（人）,日の出町／経営組織／民営／事業所数（事業所）,日の出町／経営組織／民営／従業者数（人）,檜原村／経営組織／民営／事業所数（事業所）,檜原村／経営組織／民営／従業者数（人）,奥多摩町／経営組織／民営／事業所数（事業所）,奥多摩町／経営組織／民営／従業者数（人）,島部／経営組織／民営／事業所数（事業所）,島部／経営組織／民営／従業者数（人）,大島支庁／経営組織／民営／事業所数（事業所）,大島支庁／経営組織／民営／従業者数（人）,大島町／経営組織／民営／事業所数（事業所）,大島町／経営組織／民営／従業者数（人）,利島村／経営組織／民営／事業所数（事業所）,利島村／経営組織／民営／従業者数（人）,新島村／経営組織／民営／事業所数（事業所）,新島村／経営組織／民営／従業者数（人）,神津島村／経営組織／民営／事業所数（事業所）,神津島村／経営組織／民営／従業者数（人）,三宅支庁／経営組織／民営／事業所数（事業所）,三宅支庁／経営組織／民営／従業者数（人）,三宅村／経営組織／民営／事業所数（事業所）,三宅村／経営組織／民営／従業者数（人）,御蔵島村／経営組織／民営／事業所数（事業所）,御蔵島村／経営組織／民営／従業者数（人）,八丈支庁／経営組織／民営／事業所数（事業所）,八丈支庁／経営組織／民営／従業者数（人）,八丈町／経営組織／民営／事業所数（事業所）,八丈町／経営組織／民営／従業者数（人）,青ヶ島村／経営組織／民営／事業所数（事業所）,青ヶ島村／経営組織／民営／従業者数（人）,小笠原支庁／経営組織／民営／事業所数（事業所）,小笠原支庁／経営組織／民営／従業者数（人）,小笠原村／経営組織／民営／事業所数（事業所）,小笠原村／経営組織／民営／従業者数（人）
3,E,25,259,その他のはん用機械・同部分品製造業,850,7680,705,5364,7,78,14,937,28,417,4,132,2,67,5,20,37,162,25,135,65,740,13,55,260,1336,18,66,2,41,4,24,3,7,7,96,15,102,17,109,31,243,9,22,53,274,25,70,61,231,-,-,134,2231,38,323,4,66,-,-,3,23,21,84,2,71,6,226,7,23,13,119,2,9,5,31,4,1008,2,16,-,-,-,-,3,41,-,-,1,1,1,1,3,22,5,24,1,2,2,19,4,55,5,59,2,8,11,85,11,85,10,83,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,26,000,生産用機械器具製造業,3709,37384,2960,28029,48,730,51,832,67,3263,27,288,14,949,64,609,189,1352,113,772,225,3168,38,229,905,7329,36,298,16,227,17,167,22,212,27,103,65,435,90,638,158,1368,39,288,225,1368,261,1396,263,2008,-,-,672,8543,167,1707,26,359,6,52,22,144,79,1010,25,890,31,534,15,169,34,589,6,24,19,162,21,198,13,106,6,18,5,19,13,120,5,71,12,110,2,9,15,175,55,1002,7,171,17,145,20,446,35,240,16,73,77,812,77,812,65,545,11,262,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,26,260,管理，補助的経済活動を行う事業所,115,3764,97,3538,4,25,9,100,12,1595,1,4,2,897,8,69,2,4,5,99,8,476,2,9,16,117,-,-,1,18,-,-,-,-,3,16,1,3,3,11,3,8,3,7,8,51,3,12,3,17,-,-,17,225,3,49,-,-,-,-,-,-,3,4,1,16,1,3,-,-,1,3,-,-,2,4,-,-,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,11,1,129,-,-,-,-,-,-,2,3,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,26,261,農業用機械製造業（農業用器具を除く）,23,410,14,293,2,31,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,2,8,4,228,1,11,-,-,2,3,1,4,-,-,-,-,6,97,1,21,-,-,-,-,1,8,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,33,-,-,1,30,-,-,-,-,-,-,3,20,3,20,3,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,26,262,建設機械・鉱山機械製造業,125,1636,107,1391,5,76,2,26,5,45,1,5,-,-,3,140,6,55,7,88,7,382,1,4,24,157,1,13,-,-,-,-,-,-,2,4,2,44,2,5,4,27,-,-,10,204,8,36,17,80,-,-,16,237,3,9,2,8,-,-,-,-,1,24,-,-,3,166,-,-,2,6,-,-,1,1,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9,-,-,-,-,1,5,-,-,-,-,2,8,2,8,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,26,263,繊維機械製造業,37,219,30,199,1,2,1,56,-,-,1,7,-,-,2,6,2,4,1,2,2,30,-,-,1,7,-,-,1,1,-,-,-,-,-,-,1,1,4,19,4,11,1,29,2,3,3,9,3,12,-,-,6,19,2,5,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,1,5,-,-,-,-,-,-,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,26,264,生活関連産業用機械製造業,462,4617,404,3819,7,53,13,230,6,94,9,138,5,22,15,132,19,380,20,97,23,191,2,30,82,630,4,39,2,64,2,50,6,135,4,12,19,200,17,94,29,272,5,42,44,286,31,271,40,357,-,-,56,771,11,65,1,6,1,11,-,-,6,173,4,119,6,48,-,-,3,179,2,8,2,12,2,11,3,23,1,7,1,1,2,13,1,5,3,24,-,-,1,2,1,10,-,-,-,-,3,44,1,9,1,1,2,27,2,27,2,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,26,265,基礎素材産業用機械製造業,311,3866,271,3491,18,403,9,98,10,317,6,72,5,26,9,88,10,38,7,40,23,897,2,7,68,640,5,14,4,106,1,1,3,17,3,12,9,62,1,4,17,190,5,27,11,77,15,108,30,247,-,-,38,347,5,66,3,40,-,-,1,2,2,8,2,35,3,15,1,1,4,32,-,-,2,9,1,3,3,65,1,1,-,-,2,24,1,14,-,-,-,-,-,-,1,4,-,-,2,2,1,4,1,3,2,19,2,28,2,28,2,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,26,266,金属加工機械製造業,1045,7363,852,5628,6,66,9,142,13,110,2,15,-,-,8,85,36,269,33,135,74,588,11,91,357,2085,11,139,2,6,3,54,4,23,7,27,18,43,27,103,38,230,11,63,47,338,59,308,76,708,-,-,179,1641,51,372,6,220,2,16,9,51,27,348,4,28,3,12,6,130,7,39,-,-,6,52,7,42,1,1,-,-,1,4,2,6,1,2,2,14,-,-,8,27,12,112,1,1,3,22,5,77,12,53,3,12,14,94,14,94,12,90,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,26,267,半導体・フラットパネルディスプレイ製造装置製造業,320,7146,150,3370,-,-,1,4,7,888,3,32,-,-,3,19,-,-,2,78,12,169,3,16,79,1787,3,12,-,-,6,42,2,8,2,2,2,9,1,3,8,151,4,53,4,14,2,14,6,69,-,-,149,3449,33,809,8,30,1,5,5,40,16,158,4,620,6,168,3,6,10,287,1,3,4,56,1,3,2,6,1,4,1,2,3,54,-,-,3,24,1,4,2,119,20,581,3,24,3,56,5,288,10,87,3,15,21,327,21,327,15,146,5,176,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,26,269,その他の生産用機械・同部分品製造業,1271,8363,1035,6300,5,74,7,176,14,214,4,15,1,2,16,70,114,602,38,233,76,435,17,72,278,1906,12,81,5,26,5,20,7,29,6,30,11,65,31,171,54,468,10,67,97,392,139,634,88,518,-,-,205,1757,58,311,5,53,2,20,6,43,22,290,10,72,9,122,5,32,7,43,3,13,2,28,8,128,3,9,2,5,2,12,4,23,2,50,4,48,1,5,4,27,16,237,2,17,7,30,5,28,11,88,5,23,31,306,31,306,27,224,4,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,27,000,業務用機械器具製造業,2056,36009,1574,28094,44,1636,33,1533,45,1262,49,764,85,1178,65,1567,58,853,41,1073,96,3055,29,582,219,5045,63,546,28,630,28,246,34,554,52,332,64,1350,85,490,174,3121,46,410,92,749,72,606,70,439,2,73,456,7360,108,2706,16,100,13,77,26,286,33,639,20,251,15,163,18,195,27,759,6,59,12,57,24,356,9,50,8,41,6,99,6,68,7,79,8,141,2,15,9,44,20,220,8,217,19,217,12,135,13,201,11,185,26,555,26,555,22,273,2,265,-,-,2,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,27,270,管理，補助的経済活動を行う事業所,93,5268,75,3833,8,852,3,85,8,91,4,79,9,282,5,328,1,4,2,22,6,210,1,38,7,1237,2,13,3,103,1,1,2,46,2,8,2,8,1,4,6,410,-,-,-,-,2,12,-,-,-,-,18,1435,5,1390,-,-,1,3,1,3,3,14,-,-,-,-,-,-,1,5,1,2,-,-,2,7,-,-,1,1,1,1,-,-,-,-,-,-,-,-,1,6,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,27,271,事務用機械器具製造業,109,3255,85,2975,1,3,3,5,3,18,2,33,1,3,4,52,2,4,3,74,7,1042,1,205,27,368,2,82,-,-,-,-,-,-,-,-,6,713,1,2,4,91,3,81,7,41,6,150,2,8,-,-,23,267,6,69,-,-,-,-,-,-,-,-,-,-,-,-,2,7,1,2,1,8,1,27,1,18,2,24,1,2,-,-,-,-,-,-,-,-,-,-,1,7,4,71,-,-,1,5,1,25,1,2,-,-,1,13,1,13,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,27,272,サービス用・娯楽用機械器具製造業,205,6853,170,6459,5,118,7,182,9,383,4,77,2,8,20,953,6,143,8,697,9,840,1,2,15,1895,5,25,7,253,6,51,2,30,12,65,3,29,8,40,12,340,1,22,12,91,7,34,8,112,1,69,33,385,13,207,1,5,2,16,1,5,-,-,-,-,-,-,-,-,4,60,-,-,2,2,-,-,1,4,2,8,1,1,-,-,-,-,-,-,-,-,1,9,-,-,-,-,3,12,2,56,-,-,-,-,2,9,2,9,2,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,27,273,計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業,794,9602,560,6116,14,128,7,98,8,85,20,424,19,154,17,124,17,60,13,165,36,243,17,284,122,1268,27,201,9,112,7,43,17,109,9,58,23,231,28,223,66,1479,16,88,27,240,21,196,20,103,-,-,217,3240,43,594,12,78,7,47,15,122,16,187,11,199,13,143,6,42,11,588,3,48,5,15,14,277,1,2,3,22,3,83,5,65,4,43,6,125,2,15,3,8,8,74,4,182,8,64,4,43,3,38,7,136,17,246,17,246,14,201,1,28,-,-,2,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,27,274,医療用機械器具・医療用品製造業,568,8343,461,6871,14,485,12,1162,10,636,11,87,53,728,16,102,28,545,12,107,25,591,5,24,23,150,16,102,4,84,4,41,6,253,21,126,14,239,38,178,29,425,15,114,41,357,32,172,31,159,1,4,102,1201,24,273,3,17,2,7,3,88,6,107,5,30,1,3,4,118,1,3,-,-,4,13,6,53,4,18,1,8,1,14,1,3,3,36,2,16,-,-,3,14,7,72,3,32,7,136,4,9,4,121,3,10,5,271,5,271,4,34,1,237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,27,275,光学機械器具・レンズ製造業,284,2624,222,1819,2,50,1,1,7,49,8,64,1,3,3,8,4,97,3,8,13,129,4,29,25,127,11,123,5,78,10,110,7,116,8,75,16,130,9,43,57,376,11,105,5,20,3,21,9,57,-,-,61,789,17,173,-,-,1,4,6,68,8,331,4,22,1,17,6,28,9,101,1,1,-,-,1,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,1,2,4,36,-,-,1,16,1,16,1,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,27,276,武器製造業,3,64,1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,21,-,-,-,-,2,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,28,000,電子部品・デバイス・電子回路製造業,1203,27421,638,13761,31,3912,19,612,32,1230,24,315,12,77,18,102,17,221,7,111,68,1565,30,485,164,1965,28,621,13,124,20,344,14,120,18,602,12,77,14,137,31,702,15,95,10,75,26,189,15,80,-,-,536,13322,156,2464,14,306,3,35,18,104,52,2048,34,1680,15,1764,24,180,53,560,1,4,18,1976,12,309,17,438,10,158,3,7,5,15,5,40,17,147,-,-,7,84,15,185,6,63,18,269,9,272,13,120,11,94,29,338,29,338,23,252,3,63,-,-,3,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,28,280,管理，補助的経済活動を行う事業所,66,4094,56,3961,4,1737,4,219,4,102,2,19,-,-,-,-,-,-,-,-,5,272,3,73,13,546,4,438,1,1,5,13,-,-,1,7,-,-,1,1,4,521,2,5,-,-,2,6,1,1,-,-,10,133,1,39,1,61,-,-,-,-,-,-,2,7,-,-,-,-,1,2,-,-,-,-,-,-,-,-,1,10,-,-,-,-,-,-,1,1,-,-,-,-,1,8,1,2,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,28,281,電子デバイス製造業,101,5380,56,2151,8,1531,2,39,5,80,8,153,-,-,3,25,1,21,-,-,6,59,1,27,10,57,-,-,5,52,2,39,-,-,2,35,-,-,-,-,1,10,-,-,1,12,1,11,-,-,-,-,40,3138,13,520,-,-,1,4,1,4,7,608,1,2,2,11,4,25,2,24,-,-,2,1776,2,130,1,6,-,-,-,-,-,-,-,-,1,9,-,-,-,-,1,2,-,-,-,-,-,-,2,17,-,-,5,91,5,91,5,91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,28,282,電子部品製造業,264,6145,159,3071,6,90,3,9,4,574,1,1,6,38,4,16,4,16,3,60,18,718,8,49,53,572,8,99,1,50,5,66,4,51,5,488,5,33,3,14,4,21,1,30,2,4,8,65,3,7,-,-,102,3050,21,139,2,24,-,-,6,51,9,136,6,147,4,1637,4,15,12,207,-,-,5,77,2,32,4,220,-,-,1,1,-,-,-,-,4,24,-,-,3,27,2,38,2,6,4,32,2,146,4,51,5,40,3,24,3,24,2,12,-,-,-,-,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,28,283,記録メディア製造業,15,312,14,310,-,-,1,124,3,98,1,9,1,9,-,-,-,-,-,-,-,-,-,-,1,3,-,-,1,4,-,-,1,25,2,4,-,-,-,-,1,28,-,-,-,-,-,-,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,28,284,電子回路製造業,265,5295,88,1387,6,494,4,40,3,21,3,55,3,8,3,18,2,5,-,-,6,80,3,112,24,213,3,12,2,11,-,-,4,22,4,54,1,17,4,108,7,40,2,21,1,10,2,16,1,30,-,-,166,3790,59,913,4,44,1,23,4,24,9,440,14,1454,3,10,8,59,13,77,-,-,9,91,2,115,7,84,5,88,-,-,2,6,1,2,3,62,-,-,1,15,6,84,1,3,5,135,3,10,4,37,2,14,11,118,11,118,9,67,2,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,28,285,ユニット部品製造業,53,1091,26,622,1,5,1,50,2,256,4,47,-,-,1,3,-,-,1,20,3,83,2,23,4,119,1,8,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,1,-,-,3,4,1,2,-,-,27,469,7,112,1,27,-,-,-,-,3,82,1,17,2,60,1,8,6,40,-,-,1,27,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,8,1,2,1,83,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,28,289,その他の電子部品・デバイス・電子回路製造業,439,5104,239,2259,6,55,4,131,11,99,5,31,2,22,7,40,10,179,3,31,30,353,13,201,59,455,12,64,3,6,8,226,5,22,4,14,5,26,6,14,14,82,9,38,6,49,10,87,7,34,-,-,191,2742,55,741,6,150,1,8,7,25,24,782,10,53,4,46,7,73,19,210,1,4,1,5,6,32,5,128,4,60,2,6,2,8,4,38,8,51,-,-,3,42,5,53,1,44,7,97,3,33,2,13,4,40,9,103,9,103,6,80,1,12,-,-,2,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,29,000,電気機械器具製造業,2241,47819,1581,26762,61,2230,47,761,75,6444,40,766,33,523,42,732,54,235,28,268,184,5104,65,489,337,3082,65,405,32,489,20,152,32,738,31,326,37,389,50,485,75,739,44,433,81,807,69,670,79,495,-,-,627,20557,127,2206,33,910,12,331,25,503,44,1541,44,5135,28,2096,29,989,49,677,8,21,19,140,21,3528,20,160,17,186,6,36,11,112,7,45,14,230,2,48,13,151,28,288,10,104,19,142,11,273,18,415,12,290,33,500,33,500,25,313,6,171,2,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,29,290,管理，補助的経済活動を行う事業所,92,7654,82,7491,8,1043,6,314,18,2319,2,32,1,1,7,203,2,5,1,17,13,3362,-,-,6,62,1,4,1,24,1,2,3,30,2,7,1,4,-,-,1,5,4,11,2,26,1,14,1,6,-,-,10,163,1,1,1,1,1,49,-,-,3,92,2,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,29,291,発電用・送電用・配電用電気機械器具製造業,768,17950,561,8371,13,204,6,147,20,3305,7,51,8,83,7,65,16,83,12,180,77,778,30,255,167,1556,21,139,9,144,7,94,7,60,5,30,8,104,18,99,19,182,19,106,28,297,24,168,33,241,-,-,198,9378,34,716,7,45,-,-,4,116,16,304,24,4177,9,133,5,69,18,235,1,1,5,57,10,3093,8,44,5,46,1,4,2,22,2,25,5,29,1,2,7,89,11,41,2,12,11,70,2,5,5,34,3,9,9,201,9,201,7,105,2,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,29,292,産業用電気機械器具製造業,228,3232,159,1910,2,6,9,53,4,448,6,72,3,59,2,15,6,28,3,16,17,310,4,19,38,353,6,27,3,32,2,6,4,35,2,14,2,19,4,8,12,90,5,71,13,150,6,53,6,26,-,-,66,1223,15,291,4,86,-,-,3,10,8,58,4,391,4,67,3,22,5,80,2,10,1,1,1,3,2,23,-,-,-,-,1,2,-,-,2,5,-,-,1,20,4,29,-,-,1,3,2,118,2,3,1,1,3,99,3,99,2,97,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,29,293,民生用電気機械器具製造業,151,2255,121,1853,8,108,5,38,4,22,6,295,4,19,6,340,4,15,4,27,7,141,2,27,20,296,4,44,3,49,4,18,1,6,1,51,3,13,3,24,4,51,4,28,9,34,5,154,10,53,-,-,28,386,7,99,1,2,3,100,1,3,2,82,1,2,-,-,-,-,5,22,-,-,3,22,-,-,1,1,-,-,-,-,-,-,1,12,-,-,-,-,1,12,-,-,-,-,1,21,-,-,-,-,1,8,2,16,2,16,1,2,-,-,1,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,29,294,電球・電気照明器具製造業,277,2796,253,2236,6,127,8,40,13,81,8,80,4,27,8,42,10,28,5,23,28,267,9,25,28,159,8,39,7,49,3,13,3,360,7,74,10,60,18,179,15,116,4,9,14,111,24,230,13,97,-,-,22,552,1,4,2,6,-,-,-,-,4,298,-,-,1,6,2,28,2,25,-,-,1,24,-,-,2,49,2,5,1,2,1,7,-,-,-,-,1,46,1,23,-,-,-,-,-,-,1,29,-,-,-,-,2,8,2,8,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
